,hpso01 (Ingest) [Nf_max=16384] [Na=32],hpso01 (RCAL) [Nf_max=16384] [Na=32],hpso01 (FastImg) [Nf_max=16384] [Na=32],hpso01 (ICAL) [Nf_max=16384] [Na=32],hpso01 (DPrepA) [Nf_max=16384] [Na=32],hpso01 (DPrepB) [Nf_max=16384] [Na=32],hpso01 (DPrepC) [Nf_max=16384] [Na=32],hpso01 (DPrepD) [Nf_max=16384] [Na=32],hpso02a (Ingest) [Nf_max=16384] [Na=32],hpso02a (RCAL) [Nf_max=16384] [Na=32],hpso02a (FastImg) [Nf_max=16384] [Na=32],hpso02a (ICAL) [Nf_max=16384] [Na=32],hpso02a (DPrepA) [Nf_max=16384] [Na=32],hpso02a (DPrepB) [Nf_max=16384] [Na=32],hpso02a (DPrepC) [Nf_max=16384] [Na=32],hpso02a (DPrepD) [Nf_max=16384] [Na=32],hpso02b (Ingest) [Nf_max=16384] [Na=32],hpso02b (RCAL) [Nf_max=16384] [Na=32],hpso02b (FastImg) [Nf_max=16384] [Na=32],hpso02b (ICAL) [Nf_max=16384] [Na=32],hpso02b (DPrepA) [Nf_max=16384] [Na=32],hpso02b (DPrepB) [Nf_max=16384] [Na=32],hpso02b (DPrepC) [Nf_max=16384] [Na=32],hpso02b (DPrepD) [Nf_max=16384] [Na=32],hpso04a (Ingest) [Na=32],hpso04a (RCAL) [Na=32],hpso04a (FastImg) [Na=32],hpso04a (PSS) [Na=32],hpso05a (Ingest) [Nf_max=16384] [Na=32],hpso05a (RCAL) [Nf_max=16384] [Na=32],hpso05a (FastImg) [Nf_max=16384] [Na=32],hpso05a (PST) [Nf_max=16384] [Na=32],max_low (Ingest) [Nf_max=16384] [Na=32],max_low (RCAL) [Nf_max=16384] [Na=32],max_low (FastImg) [Nf_max=16384] [Na=32],max_low (ICAL) [Nf_max=16384] [Na=32],max_low (DPrepA) [Nf_max=16384] [Na=32],max_low (DPrepA_Image) [Nf_max=16384] [Na=32],max_low (DPrepB) [Nf_max=16384] [Na=32],max_low (DPrepC) [Nf_max=16384] [Na=32],max_low (DPrepD) [Nf_max=16384] [Na=32]
Facet size [GB],(undefined),0.14418588155750756,0.9691506442136999,0.23355729574604536,0.15506410307419197,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.14418588155750756,0.9691506442136999,0.2563304561022356,0.15506410307419197,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.14418588155750756,0.9691506442136999,0.2563304561022356,0.15506410307419197,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.28554375658719666,0.9792309896680268,(undefined),(undefined),0.28554375658719666,0.9792309896680268,(undefined),(undefined),0.14439605341380307,0.9705633219857813,0.28301626469105406,0.24264083049644541,0.15529013151772508,0.43136147643812517,2.6960092277382826,(undefined)
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,5392.018455476566,706742.6429962243,176685.6607490561
Calibration output [GB],0.0,0.147456,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.147456,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.147456,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.0196608,0.0,(undefined),0.0,0.0196608,0.0,(undefined),0.0,0.1769472,0.0,1.2447744,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,0.380928,0.0,119.04,0.0,0.0,0.0,0.0,0.0,0.380928,0.0,119.04,0.0,0.0,0.0,0.0,0.0,0.380928,0.0,119.04,0.0,0.0,0.0,0.0,0.0,0.63488,0.0,(undefined),0.0,0.63488,0.0,(undefined),0.0,0.2720914285714286,0.0,117.67954285714286,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.016384,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.016384,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.016384,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.027306666666666667,0.0,(undefined),0.0,0.027306666666666667,0.0,(undefined),0.0,0.011702857142857143,0.0,5.061485714285714,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.009184640655213232,0.0012598958374778098,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0012598958374778098,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0012598958374778098,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.012877240043442957,0.0017664252460141228,0.0017664252460141228,0.12617323185815163,11.484567948688646,(undefined)
Working (cache) memory [TeraBytes],(undefined),0.013466200311440798,0.00013887001446396014,0.013023227121135648,0.001748034712174446,0.004172628355407221,0.001360424757940156,(undefined),(undefined),0.013466200311440798,0.00013887001446396014,0.005293131079161659,0.001748034712174446,0.004172628355407221,0.001360424757940156,(undefined),(undefined),0.013466200311440798,0.00013887001446396014,0.005293131079161659,0.001748034712174446,0.004172628355407221,0.001360424757940156,(undefined),(undefined),0.0017991993276615724,4.750752780673289e-06,(undefined),(undefined),0.0017991993276615724,4.750752780673289e-06,(undefined),(undefined),0.006529616297995982,7.948520750670763e-05,0.003749879058587176,0.0005251828058000773,0.0008348628507313518,0.0020442994149102956,0.02853425607488463,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.01660944384,0.01660944384,0.00830472192,0.01660944384,0.00830472192,0.01660944384,0.01660944384,0.01660944384,0.01660944384,0.01660944384,0.00830472192,0.01660944384,0.00830472192,0.01660944384,0.01660944384,0.01660944384,0.01660944384,0.01660944384,0.00830472192,0.01660944384,0.00830472192,0.01660944384,0.01660944384,0.01660944384,0.0011072962560000003,0.0011072962560000003,0.0005536481280000001,0.002102152,0.0011072962560000003,0.0011072962560000003,0.0005536481280000001,0.00077309411328,0.009965666304000002,0.009965666304000002,0.004982833152000001,0.009965666304000002,0.004982833152000001,0.004982833152000001,0.009965666304000002,0.009965666304000002,0.009965666304000002
Total buffer ingest rate [TeraBytes/s],0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,0.00046137344000000003,0.00023068672000000002,(undefined),0.00046137344000000003,0.00046137344000000003,0.00023068672000000002,(undefined),0.00046137344000000003,0.00046137344000000003,0.00023068672000000002,0.00046137344000000003,0.00023068672000000002,0.00023068672000000002,0.00046137344000000003,0.00046137344000000003,0.00046137344000000003
Output size [TB],0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,14.246514469941387,0.195035136,0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,14.246514469941387,0.195035136,0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,14.246514469941387,0.195035136,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.08122838554363401,0.08122838554363401,2.7963870433054336,311.6735055613349,0.9361686528
Buffer Read Rate [TeraBytes/s],0.0008668228266666666,0.0017336456533333332,0.0008668228266666666,0.008668228266666668,0.003099416421199283,0.006198832842398566,0.01040187392,0.01040187392,0.0008668228266666666,0.0017336456533333332,0.0008668228266666666,0.008668228266666668,0.003099416421199283,0.006198832842398566,0.01040187392,0.01040187392,0.0008668228266666666,0.0017336456533333332,0.0008668228266666666,0.008668228266666668,0.003099416421199283,0.006198832842398566,0.01040187392,0.01040187392,0.0004334114133333333,0.0008546280049824675,0.0003076139285246674,0.0008758966666666667,0.0004334114133333333,0.0008546280049824675,0.0003076139285246674,0.0003221225472,0.0004334114133333333,0.0008668228266666666,0.0004334114133333333,0.004334114133333334,0.0021760826976372767,0.0021760826976372767,0.004352165395274553,0.00520093696,0.00520093696
Facet visibility rate [TeraBytes/s],0.0,2.852276314345544e-06,0.00011062085160800988,3.582005522260289e-05,1.695559185096681e-05,7.725053085035412e-05,0.001366482036423033,(undefined),0.0,2.852276314345544e-06,0.00011062085160800988,4.000457719049728e-05,1.695559185096681e-05,7.725053085035412e-05,0.001366482036423033,(undefined),0.0,2.852276314345544e-06,0.00011062085160800988,4.000457719049728e-05,1.695559185096681e-05,7.725053085035412e-05,0.001366482036423033,(undefined),0.0,1.4299256980993567e-06,3.541876386599484e-05,(undefined),0.0,1.4299256980993567e-06,3.541876386599484e-05,(undefined),0.0,2.0025662250957692e-06,7.130698790515781e-05,2.9490223125796455e-05,1.5653227118729874e-05,1.1904420456494338e-05,5.173304885699878e-05,0.0012419673813826371,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.015072230818811459,0.155064103074192,0.13565007736930312,0.05685683779387039,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387039,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387039,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.028469857444916265,0.005693971488983253,0.14234928722458132,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.0012715756418844445,0.005825243084842254,0.0041732968471542824,0.06527720382305588,0.016088546073449648,0.03784372491219375,0.09665153718297297,0.0009844940253866668,0.0012715756418844445,0.005825243084842254,0.0041732968471542824,0.03780256465125384,0.016088546073449648,0.03784372491219375,0.09665153718297297,0.0009844940253866668,0.0012715756418844445,0.005825243084842254,0.0041732968471542824,0.03780256465125384,0.016088546073449648,0.03784372491219375,0.09665153718297297,0.0009844940253866668,0.0006357878209422223,0.002109245989455071,0.001866939790081101,0.00050088,0.0006357878209422223,0.002109245989455071,0.001866939790081101,2.755e-07,0.0006357878209422223,0.0032381791700656242,0.002094064401972703,0.03621018405503993,0.01071365636603659,0.008931265867271106,0.02068222719262812,0.6659382893194495,0.0004922470126933334
-> Receive [PetaFLOP/s],3.104267377777778e-07,,,,,,,,3.104267377777778e-07,,,,,,,,3.104267377777778e-07,,,,,,,,1.552133688888889e-07,,,,1.552133688888889e-07,,,,1.552133688888889e-07,,,,,,,,
-> Flag [PetaFLOP/s],2.137696938666667e-05,2.015363072e-05,1.007681536e-05,0.00018138267648,6.605631247680972e-05,0.00013211262495361944,0.00022168993792,0.00022168993792,2.137696938666667e-05,2.015363072e-05,1.007681536e-05,0.00018138267648,6.605631247680972e-05,0.00013211262495361944,0.00022168993792,0.00022168993792,2.137696938666667e-05,2.015363072e-05,1.007681536e-05,0.00018138267648,6.605631247680972e-05,0.00013211262495361944,0.00022168993792,0.00022168993792,1.0688484693333334e-05,9.935050557921184e-06,3.5760119190992586e-06,,1.0688484693333334e-05,9.935050557921184e-06,3.5760119190992586e-06,,1.0688484693333334e-05,1.007681536e-05,5.03840768e-06,9.069133824e-05,4.637776249339445e-05,4.637776249339445e-05,9.27555249867889e-05,0.00011084496896,0.00011084496896
-> Demix [PetaFLOP/s],0.0012492730811733334,,,,,,,,0.0012492730811733334,,,,,,,,0.0012492730811733334,,,,,,,,0.0006246365405866667,,,,0.0006246365405866667,,,,0.0006246365405866667,,,,,,,,
-> Average [PetaFLOP/s],6.151645866666667e-07,,,,,,,,6.151645866666667e-07,,,,,,,,6.151645866666667e-07,,,,,,,,3.0758229333333336e-07,,,,3.0758229333333336e-07,,,,3.0758229333333336e-07,,,,,,,,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.0008130835737576324,1.2636910449396447e-05,0.008131368518107347,0.0006348682727179691,0.0025246410008252914,0.008452336915862654,,,0.0008130835737576324,1.2636910449396447e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008452336915862654,,,0.0008130835737576324,1.2636910449396447e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008452336915862654,,,0.00019033217533834314,2.6533405988142004e-06,,,0.00019033217533834314,2.6533405988142004e-06,,,0.0005226903577505564,8.280695249270739e-06,0.004559900505462593,0.0003723843506310319,0.00040514268860544257,0.0014689035430795595,0.062082364138827964,
-> FFT [PetaFLOP/s],,0.00014244342928126238,0.0013011890553528034,0.0017522309130158559,0.0005759103749516668,0.003682361006530673,0.032925849628308114,,,0.00014244342928126238,0.0013011890553528034,0.000857947336445506,0.0005759103749516668,0.003682361006530673,0.032925849628308114,,,0.00014244342928126238,0.0013011890553528034,0.000857947336445506,0.0005759103749516668,0.003682361006530673,0.032925849628308114,,,5.970038794134683e-05,0.0006577268467344917,,,5.970038794134683e-05,0.0006577268467344917,,,7.676490548249835e-05,0.0006515938543558412,0.0013368818246216221,0.0005050209443722215,6.249014130114542e-05,0.0019745459663219013,0.14891418111524712,
-> IFFT [PetaFLOP/s],,0.000712217146406312,0.0013011890553528034,0.00876115456507928,0.0005759103749516668,0.0014729444026122694,0.004390113283774414,,,0.000712217146406312,0.0013011890553528034,0.00428973668222753,0.0005759103749516668,0.0014729444026122694,0.004390113283774414,,,0.000712217146406312,0.0013011890553528034,0.00428973668222753,0.0005759103749516668,0.0014729444026122694,0.004390113283774414,,,0.0002985019397067342,0.0006577268467344917,,,0.0002985019397067342,0.0006577268467344917,,,0.00038382452741249183,0.0006515938543558412,0.00668440912310811,0.0005050209443722215,0.00031245070650572716,0.0007898183865287606,0.0004544500156104954,
-> Solve [PetaFLOP/s],,2.905138062222222e-06,,0.00037017208604444446,,,,,,2.905138062222222e-06,,0.00037017208604444446,,,,,,2.905138062222222e-06,,0.00037017208604444446,,,,,,1.4322443283041125e-06,,,,1.4322443283041125e-06,,,,1.452569031111111e-06,,0.00018514895758222223,,,,,
-> Degrid [PetaFLOP/s],,0.00019266359049747357,9.474511500535625e-06,0.00188201821169721,0.0007533233306075377,0.0005380727812952467,0.0026072342170164542,,,0.00019266359049747357,9.474511500535625e-06,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0026072342170164542,,,0.00019266359049747357,9.474511500535625e-06,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0026072342170164542,,,4.817409755243913e-05,2.1990071552183827e-06,,,4.817409755243913e-05,2.1990071552183827e-06,,,0.00012605117732026545,5.473013869302817e-06,0.0011158715927140866,0.00045121579160902403,9.798217474652373e-05,0.00032294371142517015,0.01057997779201029,
-> Reprojection [PetaFLOP/s],,9.420144261757161e-05,,0.0008478129835581445,0.00035535523621168987,0.0017767761810584494,0.00370161704387177,,,9.420144261757161e-05,,0.00037680577047028644,0.00035535523621168987,0.0017767761810584494,0.00370161704387177,,,9.420144261757161e-05,,0.00037680577047028644,0.00035535523621168987,0.0017767761810584494,0.00370161704387177,,,4.7590626097866115e-05,,,,4.7590626097866115e-05,,,,4.716937744850901e-05,,0.000424524397036581,0.00017793660903072666,4.448415225768167e-06,0.0008896830451536333,0.08098092784331737,
-> Identify Component [PetaFLOP/s],,,,0.01015693872204908,0.00025673987797462087,0.009261587886350975,0.0031390186007311965,,,,,0.004113210217021813,0.00025673987797462087,0.009261587886350975,0.0031390186007311965,,,,,0.004113210217021813,0.00025673987797462087,0.009261587886350975,0.0031390186007311965,,,,,,,,,,,,,0.004896776121798353,9.591199340692802e-05,0.00014976518061526135,0.003859012938127134,0.05714572680552755,
-> Reprojection Predict [PetaFLOP/s],,0.000471007213087858,,0.004239064917790722,0.00035535523621168987,0.0007107104724233797,0.0004935489391829027,,,0.000471007213087858,,0.001884028852351432,0.00035535523621168987,0.0007107104724233797,0.0004935489391829027,,,0.000471007213087858,,0.001884028852351432,0.00035535523621168987,0.0007107104724233797,0.0004935489391829027,,,0.0002379531304893306,,,,0.0002379531304893306,,,,0.000235846887242545,,0.002122621985182905,0.00017793660903072666,4.448415225768167e-06,0.0003558732180614533,0.0002471341792093426,
-> Gridding Kernel Update [PetaFLOP/s],,0.0008130835737576324,1.2636910449396447e-05,0.008131368518107347,0.0006348682727179691,0.0025246410008252914,0.008452336915862654,,,0.0008130835737576324,1.2636910449396447e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008452336915862654,,,0.0008130835737576324,1.2636910449396447e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008452336915862654,,,0.00019033217533834314,2.6533405988142004e-06,,,0.00019033217533834314,2.6533405988142004e-06,,,0.0005226903577505564,8.280695249270739e-06,0.004559900505462593,0.0003723843506310319,0.00040514268860544257,0.0014689035430795595,0.062082364138827964,
-> Phase Rotation Predict [PetaFLOP/s],,0.000396426972728889,0.0,0.0022025968025600005,0.0008286634181678637,0.00011932753221617238,0.0,,,0.000396426972728889,0.0,0.0008919606886400003,0.0008286634181678637,0.00011932753221617238,0.0,,,0.000396426972728889,0.0,0.0008919606886400003,0.0008286634181678637,0.00011932753221617238,0.0,,,9.970660058128789e-05,0.0,,,9.970660058128789e-05,0.0,,,0.0001982134863644445,0.0,0.0009101639680000002,0.0003723519282623784,0.00011635997758199324,8.377918385903515e-05,0.0,
-> Correct [PetaFLOP/s],,6.934582613333334e-05,8.668228266666668e-06,0.0006241124352000001,0.00022729053755461408,0.00045458107510922815,0.0007628040874666668,0.0007628040874666668,,6.934582613333334e-05,8.668228266666668e-06,0.0006241124352000001,0.00022729053755461408,0.00045458107510922815,0.0007628040874666668,0.0007628040874666668,,6.934582613333334e-05,8.668228266666668e-06,0.0006241124352000001,0.00022729053755461408,0.00045458107510922815,0.0007628040874666668,0.0007628040874666668,,3.41851201992987e-05,3.0761392852466735e-06,,,3.41851201992987e-05,3.0761392852466735e-06,,,3.467291306666667e-05,4.334114133333334e-06,0.00031205621760000004,0.00015957939782673358,0.00015957939782673358,0.00031915879565346715,0.0003814020437333334,0.0003814020437333334
-> Grid [PetaFLOP/s],,0.00019266359049747357,9.474511500535625e-06,0.00188201821169721,0.0007533233306075377,0.0005380727812952467,0.0026072342170164542,,,0.00019266359049747357,9.474511500535625e-06,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0026072342170164542,,,0.00019266359049747357,9.474511500535625e-06,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0026072342170164542,,,4.817409755243913e-05,2.1990071552183827e-06,,,4.817409755243913e-05,2.1990071552183827e-06,,,0.00012605117732026545,5.473013869302817e-06,0.0011158715927140866,0.00045121579160902403,9.798217474652373e-05,0.00032294371142517015,0.01057997779201029,
-> Phase Rotation [PetaFLOP/s],,0.000396426972728889,0.0,0.0022025968025600005,0.00016573268363357274,0.00011932753221617238,0.0,,,0.000396426972728889,0.0,0.0008919606886400003,0.00016573268363357274,0.00011932753221617238,0.0,,,0.000396426972728889,0.0,0.0008919606886400003,0.00016573268363357274,0.00011932753221617238,0.0,,,9.970660058128789e-05,0.0,,,9.970660058128789e-05,0.0,,,0.0001982134863644445,0.0,0.0009101639680000002,7.447038565247568e-05,0.00011635997758199324,8.377918385903515e-05,0.0,
-> Subtract Visibility [PetaFLOP/s],,1.444704711111111e-07,7.223523555555555e-08,1.30023424e-06,4.735219532387793e-07,9.470439064775586e-07,1.5891751822222224e-06,,,1.444704711111111e-07,7.223523555555555e-08,1.30023424e-06,4.735219532387793e-07,9.470439064775586e-07,1.5891751822222224e-06,,,1.444704711111111e-07,7.223523555555555e-08,1.30023424e-06,4.735219532387793e-07,9.470439064775586e-07,1.5891751822222224e-06,,,7.121900041520562e-08,2.563449404372228e-08,,,7.121900041520562e-08,2.563449404372228e-08,,,7.223523555555555e-08,3.611761777777777e-08,6.5011712e-07,3.324570788056949e-07,3.324570788056949e-07,6.649141576113898e-07,7.945875911111112e-07,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> DFT [PetaFLOP/s],,0.0015077311192177778,0.0015077311192177778,0.01356958007296,0.009883594606427277,0.009883594606427277,0.016585042311395556,,,0.0015077311192177778,0.0015077311192177778,0.01356958007296,0.009883594606427277,0.009883594606427277,0.016585042311395556,,,0.0015077311192177778,0.0015077311192177778,0.01356958007296,0.009883594606427277,0.009883594606427277,0.016585042311395556,,,0.0007432598674299673,0.0005350563903871746,,,0.0007432598674299673,0.0005350563903871746,,,0.0007538655596088889,0.0007538655596088889,0.00678479003648,0.006939215739582816,0.006939215739582816,0.006939215739582816,0.008292521155697778,
-> Visibility Weighting [PetaFLOP/s],,7.453948768156356e-07,1.4749446881067982e-07,5.778968909246599e-06,5.651863950322271e-07,9.270063702042492e-07,1.821976048564044e-06,,,7.453948768156356e-07,1.4749446881067982e-07,2.6136323764458222e-06,5.651863950322271e-07,9.270063702042492e-07,1.821976048564044e-06,,,7.453948768156356e-07,1.4749446881067982e-07,2.6136323764458222e-06,5.651863950322271e-07,9.270063702042492e-07,1.821976048564044e-06,,,1.906567597465809e-07,4.722501848799312e-08,,,1.906567597465809e-07,4.722501848799312e-08,,,5.233373068250277e-07,9.507598387354376e-08,3.932029750106194e-06,3.339355118662373e-07,3.96814015216478e-07,6.207965862839854e-07,1.6559565085101827e-06,
-> Receive [Tera/s],0.0009227468800000001,,,,,,,,0.0009227468800000001,,,,,,,,0.0009227468800000001,,,,,,,,0.00046137344000000003,,,,0.00046137344000000003,,,,0.00046137344000000003,,,,,,,,
-> Flag [Tera/s],0.0009227468800000001,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,0.009535051093333332,0.0009227468800000001,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,0.009535051093333332,0.0009227468800000001,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,0.009535051093333332,0.00046137344000000003,0.0004273140024912337,0.0001538069642623337,,0.00046137344000000003,0.0004273140024912337,0.0001538069642623337,,0.00046137344000000003,0.00043341141333333335,0.00021670570666666668,0.00390070272,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.004767525546666666,0.004767525546666666
-> Demix [Tera/s],0.0009227468800000001,,,,,,,,0.0009227468800000001,,,,,,,,0.0009227468800000001,,,,,,,,0.00046137344000000003,,,,0.00046137344000000003,,,,0.00046137344000000003,,,,,,,,
-> Average [Tera/s],0.0008668228266666668,,,,,,,,0.0008668228266666668,,,,,,,,0.0008668228266666668,,,,,,,,0.0004334114133333334,,,,0.0004334114133333334,,,,0.0004334114133333334,,,,,,,,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Degridding Kernel Update [Tera/s],,10.074063008083375,0.06508966006920883,141.68654770070808,7.818227465184588,71.42826699162873,163.17154246880733,,,10.074063008083375,0.06508966006920883,67.82394090045658,7.818227465184588,71.42826699162873,163.17154246880733,,,10.074063008083375,0.06508966006920883,67.82394090045658,7.818227465184588,71.42826699162873,163.17154246880733,,,1.0702198968911882,0.001660558166757095,,,1.0702198968911882,0.001660558166757095,,,5.115292551032269,0.03591091958072276,55.3162601504573,4.4684018859383725,3.9688134622314775,36.392080056062056,2580.5778413553403,
-> FFT [Tera/s],,0.015072230818811459,0.155064103074192,0.13565007736930312,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.007614500175658578,0.07833847917344214,,,0.007614500175658578,0.07833847917344214,,,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.028469857444916265,0.005693971488983252,0.14234928722458132,12.95694845493078,
-> IFFT [Tera/s],,0.07539665677596454,0.1550922798058644,0.6785014415257169,0.05688266646457012,0.11374466999258043,0.07897643982616434,,,0.07539665677596454,0.1550922798058644,0.3015511244219509,0.05688266646457012,0.11374466999258043,0.07897643982616434,,,0.07539665677596454,0.1550922798058644,0.3015511244219509,0.05688266646457012,0.11374466999258043,0.07897643982616434,,,0.03808524617822714,0.07835264061781354,,,0.03808524617822714,0.07835264061781354,,,0.037753266232628015,0.07765916438887902,0.33973371653239864,0.028480196440261715,0.028482781189098083,0.05695522338285071,0.03954577658822209,
-> Solve [Tera/s],,1.6384e-08,,3.4133333333333337e-07,,,,,,1.6384e-08,,3.4133333333333337e-07,,,,,,1.6384e-08,,3.4133333333333337e-07,,,,,,8.192e-09,,,,8.192e-09,,,,8.192e-09,,2.362026666666667e-07,,,,,
-> Degrid [Tera/s],,0.0005590461576117266,0.00011062085160800988,0.004334226681934949,0.0021194489813708517,0.0006952547776531869,0.001366482036423033,,,0.0005590461576117266,0.00011062085160800988,0.001960224282334367,0.0021194489813708517,0.0006952547776531869,0.001366482036423033,,,0.0005590461576117266,0.00011062085160800988,0.001960224282334367,0.0021194489813708517,0.0006952547776531869,0.001366482036423033,,,0.00014299256980993566,3.541876386599484e-05,,,0.00014299256980993566,3.541876386599484e-05,,,0.0003925029801187708,7.130698790515782e-05,0.0029490223125796457,0.0012522581694983897,0.00029761051141235844,0.00046559743971298905,0.0012419673813826371,
