,hpso04b (Ingest) [Nf_max=65536] [Na=140],hpso04b (RCAL) [Nf_max=65536] [Na=140],hpso04b (FastImg) [Nf_max=65536] [Na=140],hpso04b (PSS) [Nf_max=65536] [Na=140],hpso04c (Ingest) [Na=140],hpso04c (RCAL) [Na=140],hpso04c (FastImg) [Na=140],hpso04c (PSS) [Na=140],hpso05b (Ingest) [Na=140],hpso05b (RCAL) [Na=140],hpso05b (FastImg) [Na=140],hpso05b (PST) [Na=140],hpso13 (Ingest) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (RCAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (FastImg) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (ICAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepA) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepB) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepC) [Nf_max=65536] [Na=140] [Bmax=35000],hpso14 (Ingest) [Na=140] [Bmax=25000],hpso14 (RCAL) [Na=140] [Bmax=25000],hpso14 (FastImg) [Na=140] [Bmax=25000],hpso14 (ICAL) [Na=140] [Bmax=25000],hpso14 (DPrepA) [Na=140] [Bmax=25000],hpso14 (DPrepB) [Na=140] [Bmax=25000],hpso14 (DPrepC) [Na=140] [Bmax=25000],hpso15 (Ingest) [Na=140] [Bmax=15000],hpso15 (RCAL) [Na=140] [Bmax=15000],hpso15 (FastImg) [Na=140] [Bmax=15000],hpso15 (ICAL) [Na=140] [Bmax=15000],hpso15 (DPrepA) [Na=140] [Bmax=15000],hpso15 (DPrepB) [Na=140] [Bmax=15000],hpso15 (DPrepC) [Na=140] [Bmax=15000],hpso18 (Ingest) [Na=140],hpso18 (RCAL) [Na=140],hpso18 (FastImg) [Na=140],hpso18 (SinglePulse) [Na=140],hpso22 (Ingest) [Na=140],hpso22 (RCAL) [Na=140],hpso22 (FastImg) [Na=140],hpso22 (ICAL) [Na=140],hpso22 (DPrepA) [Na=140],hpso22 (DPrepB) [Na=140],hpso27and33 (Ingest) [Na=140] [Bmax=30000],hpso27and33 (RCAL) [Na=140] [Bmax=30000],hpso27and33 (FastImg) [Na=140] [Bmax=30000],hpso27and33 (ICAL) [Na=140] [Bmax=30000],hpso27and33 (DPrepA) [Na=140] [Bmax=30000],hpso27and33 (DPrepB) [Na=140] [Bmax=30000],hpso32 (Ingest) [Na=140] [Bmax=20000],hpso32 (RCAL) [Na=140] [Bmax=20000],hpso32 (FastImg) [Na=140] [Bmax=20000],hpso32 (ICAL) [Na=140] [Bmax=20000],hpso32 (DPrepB) [Na=140] [Bmax=20000],hpso37a (Ingest) [Na=140] [Bmax=120000],hpso37a (RCAL) [Na=140] [Bmax=120000],hpso37a (FastImg) [Na=140] [Bmax=120000],hpso37a (ICAL) [Na=140] [Bmax=120000],hpso37a (DPrepA) [Na=140] [Bmax=120000],hpso37a (DPrepB) [Na=140] [Bmax=120000],hpso37b (Ingest) [Na=140] [Bmax=120000],hpso37b (RCAL) [Na=140] [Bmax=120000],hpso37b (FastImg) [Na=140] [Bmax=120000],hpso37b (ICAL) [Na=140] [Bmax=120000],hpso37b (DPrepA) [Na=140] [Bmax=120000],hpso37b (DPrepB) [Na=140] [Bmax=120000],hpso37c (Ingest) [Na=140] [Bmax=120000],hpso37c (RCAL) [Na=140] [Bmax=120000],hpso37c (FastImg) [Na=140] [Bmax=120000],hpso37c (ICAL) [Na=140] [Bmax=120000],hpso37c (DPrepA) [Na=140] [Bmax=120000],hpso37c (DPrepB) [Na=140] [Bmax=120000],hpso38a (Ingest) [Na=140],hpso38a (RCAL) [Na=140],hpso38a (FastImg) [Na=140],hpso38a (ICAL) [Na=140],hpso38a (DPrepA) [Na=140],hpso38a (DPrepB) [Na=140],hpso38b (Ingest) [Na=140],hpso38b (RCAL) [Na=140],hpso38b (FastImg) [Na=140],hpso38b (ICAL) [Na=140],hpso38b (DPrepA) [Na=140],hpso38b (DPrepB) [Na=140],max_mid_band1 (Ingest) [Na=140],max_mid_band1 (RCAL) [Na=140],max_mid_band1 (FastImg) [Na=140],max_mid_band1 (ICAL) [Na=140],max_mid_band1 (DPrepA) [Na=140],max_mid_band1 (DPrepA_Image) [Na=140],max_mid_band1 (DPrepB) [Na=140],max_mid_band1 (DPrepC) [Na=140],max_mid_band1 (DPrepD) [Na=140],max_mid_band2 (Ingest) [Na=140],max_mid_band2 (RCAL) [Na=140],max_mid_band2 (FastImg) [Na=140],max_mid_band2 (ICAL) [Na=140],max_mid_band2 (DPrepA) [Na=140],max_mid_band2 (DPrepA_Image) [Na=140],max_mid_band2 (DPrepB) [Na=140],max_mid_band2 (DPrepC) [Na=140],max_mid_band2 (DPrepD) [Na=140],max_mid_band5a_1 (Ingest) [Na=140],max_mid_band5a_1 (RCAL) [Na=140],max_mid_band5a_1 (FastImg) [Na=140],max_mid_band5a_1 (ICAL) [Na=140],max_mid_band5a_1 (DPrepA) [Na=140],max_mid_band5a_1 (DPrepA_Image) [Na=140],max_mid_band5a_1 (DPrepB) [Na=140],max_mid_band5a_1 (DPrepC) [Na=140],max_mid_band5a_1 (DPrepD) [Na=140],max_mid_band5a_2 (Ingest) [Na=140],max_mid_band5a_2 (RCAL) [Na=140],max_mid_band5a_2 (FastImg) [Na=140],max_mid_band5a_2 (ICAL) [Na=140],max_mid_band5a_2 (DPrepA) [Na=140],max_mid_band5a_2 (DPrepA_Image) [Na=140],max_mid_band5a_2 (DPrepB) [Na=140],max_mid_band5a_2 (DPrepC) [Na=140],max_mid_band5a_2 (DPrepD) [Na=140],max_mid_band5b_1 (Ingest) [Na=140],max_mid_band5b_1 (RCAL) [Na=140],max_mid_band5b_1 (FastImg) [Na=140],max_mid_band5b_1 (ICAL) [Na=140],max_mid_band5b_1 (DPrepA) [Na=140],max_mid_band5b_1 (DPrepA_Image) [Na=140],max_mid_band5b_1 (DPrepB) [Na=140],max_mid_band5b_1 (DPrepC) [Na=140],max_mid_band5b_1 (DPrepD) [Na=140],max_mid_band5b_2 (Ingest) [Na=140],max_mid_band5b_2 (RCAL) [Na=140],max_mid_band5b_2 (FastImg) [Na=140],max_mid_band5b_2 (ICAL) [Na=140],max_mid_band5b_2 (DPrepA) [Na=140],max_mid_band5b_2 (DPrepA_Image) [Na=140],max_mid_band5b_2 (DPrepB) [Na=140],max_mid_band5b_2 (DPrepC) [Na=140],max_mid_band5b_2 (DPrepD) [Na=140]
Oversampling used bw9,,63.99999313757051,64.0,,,63.99246168983419,64.0,,,63.99999987814274,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.99999313757051,64.0,,,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,63.99999998048478,64.0,63.999999958840284,63.999999978940316,63.95687989506493,,63.99999998048478,64.0,63.99999998048478,63.999999978940316,63.95687989506493,,63.99999998048478,64.0,63.99999998048478,63.999999978940316,63.95687989506493,,64.0,64.0,63.99999999999999,64.0,64.0,,64.0,64.0,64.0,64.0,64.0,,63.999846660170704,64.0,63.999846660156656,63.99865731038327,63.99779277638863,63.989280418640995,63.99999937248202,,,63.99999987814274,64.0,63.99999987814287,63.999999871837794,63.999999210706925,63.95412066130226,64.0,,,63.999999999997165,64.0,63.999999999997165,63.9999999650416,63.99999999999752,63.99999999999752,64.0,,,63.99999999999994,64.0,63.99999999999994,64.0,63.99999999999993,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw10,,63.99999962907014,64.0,,,63.99963444190607,64.0,,,63.99999999999884,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.99999962907014,64.0,,,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,63.999999999999076,64.0,63.999999993989896,63.999999997106606,63.992915342925535,,63.999999999999076,64.0,63.999999999999076,63.999999997106606,63.992915342925535,,63.999999999999076,64.0,63.999999999999076,63.999999997106606,63.992915342925535,,64.0,64.0,64.0,64.0,64.0,,64.0,64.0,64.0,64.0,64.0,,63.99999968145494,64.0,63.999999681454895,63.99998515194868,63.999969952260535,63.999717414622936,63.999999983475604,,,63.99999999999884,64.0,63.99999999999884,63.99999999664054,63.99999997120707,63.99448091305896,64.0,,,64.0,64.0,64.0,63.999999997437975,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw11,,63.999999999986386,64.0,,,63.99980874931858,64.0,,,63.99999999999999,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.999999999986386,64.0,,,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,,64.0,64.0,64.0,64.0,64.0,,63.99999998318031,64.0,63.9999999831803,63.999999982733264,63.999999952273456,63.99999879049554,63.999999877123116,,,63.99999999999999,64.0,63.99999999999999,63.99999999999999,63.99999999999973,63.999738429066184,64.0,,,64.0,64.0,64.0,63.99999999999996,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),336.8903033785813,1076.7866629898808,(undefined),(undefined),171.92334296102695,618.1593835281677,(undefined),(undefined),630.500997159299,1763.4641473468378,(undefined),(undefined),217.69161204396846,521.9212344698552,217.69161204396846,161.27694549614694,403.0540788670101,734.4434476774929,(undefined),322.2189921177397,643.8212132715598,268.53441733997994,497.1909356825173,497.1909356825173,279.28085374879674,(undefined),257.9547512531722,515.4139043846659,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,(undefined),336.8903033785813,1076.7866629898808,(undefined),(undefined),579.5482945194844,1157.9852009911804,579.5482945194844,536.6338048065327,894.2545468709208,(undefined),782.5484754593473,1563.6046875955976,1207.4924417886202,1207.4924417886202,1207.4924417886202,(undefined),1627.768254954736,3252.4350388181706,2511.6897145573553,2511.6897145573553,(undefined),559.0389802377872,1563.6046875955976,521.7873967024967,483.15612439994436,362.43339351431086,(undefined),559.0389802377872,1563.6046875955976,559.0389802377872,483.15612439994436,362.43339351431086,(undefined),559.0389802377872,1563.6046875955976,559.0389802377872,483.15612439994436,362.43339351431086,(undefined),653.5959856457442,1305.9412211328704,544.700977250144,605.1982043678688,1008.5130422414231,(undefined),653.5959856457442,1305.9412211328704,653.5959856457442,605.1982043678688,1008.5130422414231,(undefined),814.1586879068773,3252.4350388181706,814.1586879068773,753.8913072681331,753.8913072681331,753.8913072681331,1098.852091756393,(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,408.7664859499846,744.6760281255881,(undefined),(undefined),624.8353800384707,1248.474078168412,624.8353800384707,385.7838834371547,578.5673494422896,578.5673494422896,1756.8443345598678,(undefined),(undefined),490.78836247459066,980.6330847493856,490.78836247459066,757.2948648839946,454.4465660326561,757.2948648839946,1379.9387847644127,(undefined),(undefined),387.89753303595126,775.0552407156821,387.89753303595126,359.17413165102994,359.17413165102994,598.5358063662928,1090.6537817006797,(undefined),(undefined),312.4475764035551,499.4710456886,312.4475764035551,385.7169764969673,385.7169764969673,385.7169764969673,702.8515877930889,(undefined)
"Channels predict, no-smear1",,505.24061234383964,1615.0851313661387,,,257.83125528440695,927.1853026460273,,,945.5973858340815,2645.042084215139,,,326.49132165556017,782.8357489705423,326.49132165556017,241.8693256283889,604.5350169007022,1101.6190674725092,,483.27271301923463,965.6760393897778,402.7458529975174,745.7306245903046,745.7306245903046,418.90275499589205,,386.88655543856316,773.0752806665877,322.42065370364355,596.9976404288616,596.9976404288616,38.494609457539404,,505.24061234383964,1615.0851313661387,,,869.2210952001216,1736.8764450679282,869.2210952001216,804.8493622055944,1341.280466795748,,1173.6900811103947,2345.274386834516,1811.1060218133737,1811.1060218133737,1811.1060218133737,,2441.3777808470027,4878.377930924128,3767.259952131288,3767.259952131288,,838.4258482659727,2345.274386834516,782.5484754593473,724.6015700009231,543.5174871479519,,838.4258482659727,2345.274386834516,838.4258482659727,724.6015700009231,543.5174871479519,,838.4258482659727,2345.274386834516,838.4258482659727,724.6015700009231,543.5174871479519,,980.28100389151,1958.798846281178,816.9384956364858,907.684333710317,1512.656581147074,,980.28100389151,1958.798846281178,980.28100389151,907.684333710317,1512.656581147074,,1220.9634817176923,4878.377930924128,1220.9634817176923,1130.5624189861267,1130.5624189861267,1130.5624189861267,1648.0035608284904,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,612.9956417281602,1116.8599258645493,,,937.1445813732993,1872.6026181108641,937.1445813732993,578.5673494422896,867.7425371530907,867.7425371530907,2635.15799966488,,,736.0954842024919,1470.8625590408603,736.0954842024919,1135.855231776643,681.5827909121818,1135.855231776643,2069.8211065762466,,,581.7804893085284,1162.5170446296113,581.7804893085284,538.6953882234403,538.6953882234403,897.7378949369104,1635.9148543099343,,,468.627086529404,749.1622878457075,468.627086529404,578.531185344861,578.531185344861,578.531185344861,1054.2330997398833,
"Channels predict, no-smear2",,673.5909153757384,2153.3835978862576,,,343.7391638722349,1236.2112207240377,,,1260.6937661381571,3526.6200180912742,,,435.2910290982149,1043.750262565609,435.2910290982149,322.4617028333052,806.0159537629055,1468.7946866230889,,644.3264317751682,1287.5308644346665,536.9572860809892,994.2703121075014,994.2703121075014,558.5246559695574,,515.818357835032,1030.736656052458,429.86382302328974,795.9664696855765,795.9664696855765,51.32497229224026,,673.5909153757384,2153.3835978862576,,,1158.8938919419184,2315.7676871743406,1158.8938919419184,1073.0649153513252,1788.3063841681017,,1564.8316817669963,3126.9440835744203,2414.7195985996987,2414.7195985996987,2414.7195985996987,,3254.987296445331,6504.3208178727855,5022.83018303477,5022.83018303477,,1117.8127093029952,3126.9440835744203,1043.3095467261069,966.0470075132783,724.6015700009231,,1117.8127093029952,3126.9440835744203,1117.8127093029952,966.0470075132783,724.6015700009231,,1117.8127093029952,3126.9440835744203,1117.8127093029952,966.0470075132783,724.6015700009231,,1306.96601779828,2611.6564692589372,1089.1760088165274,1210.1704583665676,2016.800117240791,,1306.96601779828,2611.6564692589372,1306.96601779828,1210.1704583665676,2016.800117240791,,1627.768254954736,6504.3208178727855,1627.768254954736,1507.2335084877068,1507.2335084877068,1507.2335084877068,2197.155014653578,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,817.2247845994948,1489.0438165150779,,,1249.4537785218913,2496.731155957967,1249.4537785218913,771.3508086695679,1156.917720343117,1156.917720343117,3513.4716632831455,,,981.402602498862,1961.092031615367,981.402602498862,1514.4155964449083,908.7190120858963,1514.4155964449083,2759.7034271684297,,,775.663443099977,1549.9788473015467,775.663443099977,718.2166421163894,718.2166421163894,1196.9399818997936,2181.175926036535,,,624.8065952610568,998.8535291309122,624.8065952610568,771.345393063828,771.345393063828,771.345393063828,1405.6146110676311,
"Channels predict, no-smear3",,1010.2915155039485,3229.9805290701393,,,515.5549773110245,1854.2630558404826,,,1890.8865183728738,5289.77588285103,,,652.8904418135188,1565.5792888526385,652.8904418135188,483.6464543146965,1208.9778263156445,2203.1459242849523,,966.4338671409787,1931.2405134509902,805.3801496725802,1491.3496857510963,1491.3496857510963,837.7684576434344,,773.6819608386259,1546.0594059280418,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,,1010.2915155039485,3229.9805290701393,,,1738.239481487407,3473.5501694166,1738.239481487407,1609.4960173883849,2682.3582163564483,,2347.114878082577,4690.283474554932,3621.9467489340564,3621.9467489340564,3621.9467489340564,,4882.206317341453,9756.206586629321,7533.970638170312,7533.970638170312,,1676.58642438262,4690.283474554932,1564.8316817669963,1448.937874446404,1086.7697249209346,,1676.58642438262,4690.283474554932,1676.58642438262,1448.937874446404,1086.7697249209346,,1676.58642438262,4690.283474554932,1676.58642438262,1448.937874446404,1086.7697249209346,,1960.336041270146,3917.3717130369573,1633.6510299688712,1815.142702990266,3025.0871866158723,,1960.336041270146,3917.3717130369573,1960.336041270146,1815.142702990266,3025.0871866158723,,2441.3777808470027,9756.206586629321,2441.3777808470027,2260.575665262745,2260.575665262745,2260.575665262745,3295.457907053855,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,1225.683057428352,2233.411590727344,,,1874.0721686334662,3744.9882295565817,1874.0721686334662,1156.917720343117,1735.2680822026339,1735.2680822026339,5270.098989032808,,,1472.016835659259,2941.5509750472097,1472.016835659259,2271.5363235567147,1362.991450725515,2271.5363235567147,4139.468067131828,,,1163.4293482011838,2324.902451403282,1163.4293482011838,1077.2591472221711,1077.2591472221711,1795.3441542175892,3271.698068607013,,,937.1656113299033,1498.2360108293155,937.1656113299033,1156.9738073711717,1156.9738073711717,1156.9738073711717,2108.377633104028,
"Channels predict, no-smear4",,1683.6927086368398,5383.174389209548,,,859.1865997033472,3090.3667248198667,,,3151.2720127948655,8816.087608755946,,,1088.0892646396737,2609.237340335932,1088.0892646396737,806.0159537629055,2014.9015700148148,3671.8483988277135,,1610.6487352975146,3218.6598101888762,1342.225873765601,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,,,,,1683.6927086368398,5383.174389209548,,,2896.9306558489093,5789.115131524649,2896.9306558489093,2682.3582163564483,4470.461877672626,,3911.681264714464,7816.9622535004,6036.401045713372,6036.401045713372,6036.401045713372,,6509.425333095011,13008.09235279605,10045.11108995104,10045.11108995104,,2794.133846147517,7816.9622535004,2607.875942853118,2414.7195985996987,1811.1060218133737,,2794.133846147517,7816.9622535004,2794.133846147517,2414.7195985996987,1811.1060218133737,,2794.133846147517,7816.9622535004,2794.133846147517,2414.7195985996987,1811.1060218133737,,3267.07608300433,6528.802197997543,2722.601066020032,3025.0871866158723,5041.661321982965,,3267.07608300433,6528.802197997543,3267.07608300433,3025.0871866158723,5041.661321982965,,4068.596807922735,16259.978117949031,4068.596807922735,3767.259952131288,3767.259952131288,3767.259952131288,5492.063673545096,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,2042.59958758406,3722.1471306426047,,,3123.308943830835,6241.502374238896,3123.308943830835,1928.0515355533043,2891.968800495013,2891.968800495013,8783.353638730738,,,2453.245297858902,4902.4688598435,2453.245297858902,3785.777775112199,2271.5363235567147,3785.777775112199,6898.997345611584,,,1938.961155425732,3874.749658121138,1938.961155425732,1795.3441542175892,1795.3441542175892,2992.1524969186466,5452.742352698669,,,1561.8836417927025,2497.000973176252,1561.8836417927025,1928.2306346300104,1928.2306346300104,1928.2306346300104,3513.9036764271746,
"Channels predict, no-smear5",,2357.0938990537784,7536.368248502462,,,1202.8182203851036,4326.470393327497,,,4411.657503381265,12342.399333294128,,,1523.288086473978,3652.8953914096815,1523.288086473978,1128.3854518718204,2820.825313173438,5140.550873089399,,,,,,,,,,,,,,,,2357.0938990537784,7536.368248502462,,,4055.6218284109505,8104.680092735638,4055.6218284109505,3755.2204133807213,6258.565537827592,,4693.964457034684,9380.30164246983,7243.628193459831,7243.628193459831,7243.628193459831,,,,,,,3911.681264714464,10943.641031308609,3650.9202005175316,3380.5013190529257,2535.4423137715403,,3911.681264714464,10943.641031308609,3911.681264714464,3380.5013190529257,2535.4423137715403,,3911.681264714464,10943.641031308609,3911.681264714464,3380.5013190529257,2535.4423137715403,,4573.8161227602595,9140.23268193638,3811.551099692947,4235.03166809133,7058.235456070325,,4573.8161227602595,9140.23268193638,4573.8161227602595,4235.03166809133,7058.235456070325,,5695.815825583903,22763.7496469424,5695.815825583903,5273.94422883101,5273.94422883101,5273.94422883101,7688.669433066289,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,2859.516111832105,5210.882667312964,,,4372.54571711229,8738.01651794635,4372.54571711229,2699.1853476606775,4048.669516720438,4048.669516720438,12296.60828776359,,,3434.473758490444,6863.38674384752,3434.473758490444,5300.019225641703,3180.0811946914255,5300.019225641703,9658.526623496717,,,2714.492961515096,5424.596864260952,2714.492961515096,2513.429159987876,2513.429159987876,4188.960838894559,7633.786636380734,,,2186.6016716181684,3495.7659351295993,2186.6016716181684,2699.4874613683787,2699.4874613683787,2699.4874613683787,4919.429719464374,
"Channels predict, no-smear6",,3703.8962776712715,11842.755966356832,,,1890.0814603514716,6798.677729984218,,,6932.428481437218,19395.02278134777,,,,,,,,,,,,,,,,,,,,,,,,3703.8962776712715,11842.755966356832,,,6373.004172057256,12735.810014452325,6373.004172057256,5900.944805844548,9834.772857149546,,,,,,,,,,,,,6146.776099231232,17196.998585966976,5737.008713030386,5312.06475692582,3984.1148936492104,,6146.776099231232,17196.998585966976,6146.776099231232,5312.06475692582,3984.1148936492104,,6146.776099231232,17196.998585966976,6146.776099231232,5312.06475692582,3984.1148936492104,,7187.29620064201,14363.093649099334,5989.451165093498,6654.920629299468,11091.383723198613,,7187.29620064201,14363.093649099334,7187.29620064201,6654.920629299468,11091.383723198613,,8950.253853200655,35771.292703005485,8950.253853200655,8287.312773910124,8287.312773910124,8287.312773910124,12081.880946396355,,,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,4493.349155498813,8188.353738004776,,,6871.019262117228,13731.04480464506,6871.019262117228,4241.452969339363,6362.070947466424,6362.070947466424,19323.11758529115,,,5396.93067846595,10785.222511252052,5396.93067846595,8328.502125879368,4997.170935582309,8328.502125879368,15177.585178913405,,,4265.556572763876,8524.291276080465,4265.556572763876,3949.5991705173633,3949.5991705173633,6582.577522215963,11995.875203381569,,,3436.0377307500003,5493.295858679581,3436.0377307500003,4242.001114423948,4242.001114423948,4242.001114423948,7730.481805313027,
"Channels predict, no-smear7",,5050.698655291137,16149.143684002745,,,2577.3446996984426,9270.885066407369,,,9453.19945809229,26447.64622874797,,,,,,,,,,,,,,,,,,,,,,,,5050.698655291137,16149.143684002745,,,8690.38651503596,17366.939935831644,8690.38651503596,8046.669197569351,13410.980176081997,,,,,,,,,,,,,8381.87093257496,23450.356140331245,7823.097224300908,7243.628193459831,5432.787471740869,,8381.87093257496,23450.356140331245,8381.87093257496,7243.628193459831,5432.787471740869,,8381.87093257496,23450.356140331245,8381.87093257496,7243.628193459831,5432.787471740869,,9800.776277769013,19585.954615759532,8167.351229610696,9074.809589730918,15124.531989867131,,9800.776277769013,19585.954615759532,9800.776277769013,9074.809589730918,15124.531989867131,,12204.691877411036,48778.83575805354,12204.691877411036,11300.681315299544,11300.681315299544,11300.681315299544,16475.092457200582,,,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,6127.1821970076,11165.824807523442,,,9369.492806415708,18724.073090943526,9369.492806415708,5783.720589892431,8675.47237749329,8675.47237749329,26349.62688235958,,,7359.387597860168,14707.05827828941,7359.387597860168,11356.985025790955,6814.260675854047,11356.985025790955,20696.643734048208,,,5816.620183612246,11623.985687681801,5816.620183612246,5385.769180622001,5385.769180622001,8976.19420530767,16357.963770226615,,,4685.473789635364,7490.825782099815,4685.473789635364,5784.514767308252,5784.514767308252,5784.514767308252,10541.533891021449,
"Channels predict, no-smear8",,6060.800438265586,19378.934472076984,,,3092.79212904381,11125.040568682096,,,11343.777690213876,31737.113814226475,,,,,,,,,,,,,,,,,,,,,,,,6060.800438265586,19378.934472076984,,,10428.4232721203,20840.28737677641,10428.4232721203,9655.962491205197,16093.135665209433,,,,,,,,,,,,,10058.192057312433,28140.374305718356,9387.663607423423,8692.300770509128,6519.291904838624,,10058.192057312433,28140.374305718356,10058.192057312433,8692.300770509128,6519.291904838624,,10058.192057312433,28140.374305718356,10058.192057312433,8692.300770509128,6519.291904838624,,11760.88633545867,23503.100340898683,9800.776277769013,10889.726309842874,18149.39318963302,,11760.88633545867,23503.100340898683,11760.88633545867,10889.726309842874,18149.39318963302,,14645.520394671583,58534.493049076,14645.520394671583,13560.707720387763,13560.707720387763,13560.707720387763,19770.00108959761,,,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,7352.556977594775,13398.928109336666,,,11243.34796445438,22468.844305677696,11243.34796445438,6940.421305022223,10410.523449761204,10410.523449761204,31619.508855287142,,,8831.230287258184,17648.435103629192,8831.230287258184,13628.347200527185,8177.077980878107,13628.347200527185,24835.937650170927,,,6979.91789160953,13948.756496420494,6979.91789160953,6462.896688077755,6462.896688077755,10771.406717543246,19629.530195501968,,,5622.550833767074,8988.973224644848,5622.550833767074,6941.400006915847,6941.400006915847,6941.400006915847,12649.822955330317,
"Channels predict, no-smear9",,7407.602815391813,23685.322189586972,,,3780.055368073351,13597.247905129394,,,13864.548666143593,38789.737261594215,,,,,,,,,,,,,,,,,,,,,,,,7407.602815391813,23685.322189586972,,,12745.80561478502,25471.417297786524,12745.80561478502,11801.686882617556,19669.342983940514,,,,,,,,,,,,,12293.286890062791,34393.73186010254,11473.752118070064,10623.864206351685,7967.9644820068215,,12293.286890062791,34393.73186010254,12293.286890062791,10623.864206351685,7967.9644820068215,,12293.286890062791,34393.73186010254,12293.286890062791,10623.864206351685,7967.9644820068215,,14374.366412224357,28725.96130741471,11978.676341888648,13309.615269917762,22182.5414561377,,14374.366412224357,28725.96130741471,14374.366412224357,13309.615269917762,22182.5414561377,,17899.958417113157,71542.03610356698,17899.958417113157,16574.07625990824,16574.07625990824,16574.07625990824,24163.21259907646,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,8986.39001802265,16376.399178261838,,,13741.821508373107,27461.872591764837,13741.821508373107,8482.688925008839,12723.924879435377,12723.924879435377,38646.01815217868,,,10793.687206394625,21570.270870563025,10793.687206394625,16656.83010023241,9994.167720852123,16656.83010023241,30354.996205185125,,,8530.981502249522,17048.45090799035,8530.981502249522,7899.0666979190055,7899.0666979190055,13165.023400438648,23991.618762418533,,,6871.986892542499,10986.503148049804,6871.986892542499,8483.913659718617,8483.913659718617,8483.913659718617,15460.87504118423,
"Channels predict, no-smear10",,8754.405192387638,27991.709906601147,,,4467.318607026199,16069.455241568343,,,16385.319641927366,45842.360708727,,,,,,,,,,,,,,,,,,,,,,,,8754.405192387638,27991.709906601147,,,15063.187957426973,30102.547218842086,15063.187957426973,13947.411273903268,23245.550302517167,,,,,,,,,,,,,13410.834306402197,37520.4106371775,12516.796373314044,11589.64592422567,8692.300770509128,,13410.834306402197,37520.4106371775,13410.834306402197,11589.64592422567,8692.300770509128,,13410.834306402197,37520.4106371775,13410.834306402197,11589.64592422567,8692.300770509128,,16987.846488913263,33948.822273950515,14156.576405879654,15729.504229847658,26215.689722525978,,16987.846488913263,33948.822273950515,16987.846488913263,15729.504229847658,26215.689722525978,,21154.396439210148,84549.57915900485,21154.396439210148,19587.444798963337,19587.444798963337,19587.444798963337,28556.424108368232,,,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,10620.22305818207,19353.87024708186,,,16240.295052214517,32454.900877828833,16240.295052214517,10024.956544852792,15037.326308886926,15037.326308886926,45672.52744954128,,,12756.144125484823,25492.106637455006,12756.144125484823,19685.312999888833,11811.257460724348,19685.312999888833,35874.05476068143,,,10082.04511280974,20148.145319474246,10082.04511280974,9335.236707718514,9335.236707718514,15558.640083399476,28353.707329037818,,,8121.422951328106,12984.033071312198,8121.422951328106,10026.427312422024,10026.427312422024,10026.427312422024,18271.927126731895,
