,hpso01 (Ingest) [Na=256],hpso01 (RCAL) [Na=256],hpso01 (FastImg) [Na=256],hpso01 (ICAL) [Na=256],hpso01 (DPrepA) [Na=256],hpso01 (DPrepB) [Na=256],hpso01 (DPrepC) [Na=256],hpso01 (DPrepD) [Na=256],hpso02a (Ingest) [Na=256],hpso02a (RCAL) [Na=256],hpso02a (FastImg) [Na=256],hpso02a (ICAL) [Na=256],hpso02a (DPrepA) [Na=256],hpso02a (DPrepB) [Na=256],hpso02a (DPrepC) [Na=256],hpso02a (DPrepD) [Na=256],hpso02b (Ingest) [Na=256],hpso02b (RCAL) [Na=256],hpso02b (FastImg) [Na=256],hpso02b (ICAL) [Na=256],hpso02b (DPrepA) [Na=256],hpso02b (DPrepB) [Na=256],hpso02b (DPrepC) [Na=256],hpso02b (DPrepD) [Na=256],hpso04a (Ingest) [Nf_max=8192] [Na=256],hpso04a (RCAL) [Nf_max=8192] [Na=256],hpso04a (FastImg) [Nf_max=8192] [Na=256],hpso04a (PSS) [Nf_max=8192] [Na=256],hpso05a (Ingest) [Nf_max=8192] [Na=256],hpso05a (RCAL) [Nf_max=8192] [Na=256],hpso05a (FastImg) [Nf_max=8192] [Na=256],hpso05a (PST) [Nf_max=8192] [Na=256],max_low (Ingest) [Nf_max=8192] [Na=256],max_low (RCAL) [Nf_max=8192] [Na=256],max_low (FastImg) [Nf_max=8192] [Na=256],max_low (ICAL) [Nf_max=8192] [Na=256],max_low (DPrepA) [Nf_max=8192] [Na=256],max_low (DPrepA_Image) [Nf_max=8192] [Na=256],max_low (DPrepB) [Nf_max=8192] [Na=256],max_low (DPrepC) [Nf_max=8192] [Na=256],max_low (DPrepD) [Nf_max=8192] [Na=256]
Working (cache) memory [TeraBytes],(undefined),0.00018500866386656655,0.0001388700408785924,0.00018500866391996763,1.8883343111338314e-05,5.317631778963727e-05,5.0182634351746534e-05,(undefined),(undefined),0.00018500866386656655,0.0001388700408785924,9.133582911814405e-05,1.8883343111338314e-05,5.317631778963727e-05,5.0182634351746534e-05,(undefined),(undefined),0.00018500866386656655,0.0001388700408785924,9.133582911814405e-05,1.8883343111338314e-05,5.317631778963727e-05,5.0182634351746534e-05,(undefined),(undefined),3.9563335924996384e-05,4.750752703781868e-06,(undefined),(undefined),3.9563335924996384e-05,4.750752703781868e-06,(undefined),(undefined),0.00010060354600587345,7.948522088100229e-05,0.00010060354601127313,9.951935798573477e-06,1.1024419532130283e-05,2.7452942080109355e-05,0.000608347178875455,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.51740934144,0.51740934144,0.25870467072,0.51740934144,0.25870467072,0.51740934144,0.51740934144,0.51740934144,0.51740934144,0.51740934144,0.25870467072,0.51740934144,0.25870467072,0.51740934144,0.51740934144,0.51740934144,0.51740934144,0.51740934144,0.25870467072,0.51740934144,0.25870467072,0.51740934144,0.51740934144,0.51740934144,0.034493956096,0.034493956096,0.017246978048,0.002102152,0.034493956096,0.034493956096,0.017246978048,0.00077309411328,0.310445604864,0.310445604864,0.155222802432,0.310445604864,0.155222802432,0.155222802432,0.310445604864,0.310445604864,0.310445604864
Total buffer ingest rate [TeraBytes/s],0.02874496341333333,0.02874496341333333,0.014372481706666666,0.02874496341333333,0.014372481706666666,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.014372481706666666,0.02874496341333333,0.014372481706666666,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.014372481706666666,0.02874496341333333,0.014372481706666666,0.02874496341333333,0.02874496341333333,0.02874496341333333,0.014372481706666666,0.014372481706666666,0.007186240853333333,(undefined),0.014372481706666666,0.014372481706666666,0.007186240853333333,(undefined),0.014372481706666666,0.014372481706666666,0.007186240853333333,0.014372481706666666,0.007186240853333333,0.007186240853333333,0.014372481706666666,0.014372481706666666,0.014372481706666666
Output size [TB],0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,12.83457024,0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,12.83457024,0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,12.83457024,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.06658064388822461,0.06658064388822461,2.3778801388651645,311.6735055613349,61.605937152
Buffer Read Rate [TeraBytes/s],0.028521267200000002,0.057042534400000004,0.028521267200000002,0.28521267200000006,0.17112760320000003,0.34225520640000007,0.34225520640000007,0.34225520640000007,0.028521267200000002,0.057042534400000004,0.028521267200000002,0.28521267200000006,0.17112760320000003,0.34225520640000007,0.34225520640000007,0.34225520640000007,0.028521267200000002,0.057042534400000004,0.028521267200000002,0.28521267200000006,0.17112760320000003,0.34225520640000007,0.34225520640000007,0.34225520640000007,0.014260633600000001,0.028521267200000002,0.014260633600000001,0.0008758966666666667,0.014260633600000001,0.028521267200000002,0.014260633600000001,0.0003221225472,0.014260633600000001,0.028521267200000002,0.014260633600000001,0.14260633600000003,0.08556380160000002,0.08556380160000002,0.17112760320000003,0.17112760320000003,0.17112760320000003
Facet visibility rate [TeraBytes/s],0.0,0.0010375461455706951,0.005866577469782266,0.009337915310136254,0.01166524797705028,0.02333049595410056,0.06252993256625573,(undefined),0.0,0.0010375461455706951,0.005866577469782266,0.050016567872018323,0.01166524797705028,0.02333049595410056,0.06252993256625573,(undefined),0.0,0.0010375461455706951,0.005866577469782266,0.050016567872018323,0.01166524797705028,0.02333049595410056,0.06252993256625573,(undefined),0.0,0.0003178931909907443,0.0021136154477869352,(undefined),0.0,0.0003178931909907443,0.0021136154477869352,(undefined),0.0,0.001027380133782963,0.003427522973015157,0.00924642120404667,0.007039279203515293,0.007039279203515293,0.014078558407030586,0.04086473319388031,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.015072230818811459,0.155064103074192,0.13565007736930312,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.04186730783003182,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.04186730783003182,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.019770734336747406,0.003954146867349482,0.09885367168373703,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.03962667418510222,0.11941247342168677,0.04529101604763972,1.088473259192924,0.534533692661084,0.6072759395127311,0.8188775772022412,0.0323930292224,0.03962667418510222,0.11941247342168677,0.04529101604763972,0.6933762274656993,0.534533692661084,0.6072759395127311,0.8188775772022412,0.0323930292224,0.03962667418510222,0.11941247342168677,0.04529101604763972,0.6933762274656993,0.534533692661084,0.6072759395127311,0.8188775772022412,0.0323930292224,0.01981333709255111,0.043030651945232624,0.022018016268361407,0.00050088,0.01981333709255111,0.043030651945232624,0.022018016268361407,2.755e-07,0.01981333709255111,0.06792264709648686,0.022898394717812364,0.6179507049975329,0.2726992699335695,0.24957571080588647,0.3107463762138103,1.9850701177020422,0.0161965146112
-> Receive [PetaFLOP/s],9.604410026666665e-06,,,,,,,,9.604410026666665e-06,,,,,,,,9.604410026666665e-06,,,,,,,,4.802205013333333e-06,,,,4.802205013333333e-06,,,,4.802205013333333e-06,,,,,,,,
-> Flag [PetaFLOP/s],0.0006659249857422221,0.0006631194624,0.0003315597312,0.0059680751616,0.0036471570432,0.0072943140864,0.0072943140864,0.0072943140864,0.0006659249857422221,0.0006631194624,0.0003315597312,0.0059680751616,0.0036471570432,0.0072943140864,0.0072943140864,0.0072943140864,0.0006659249857422221,0.0006631194624,0.0003315597312,0.0059680751616,0.0036471570432,0.0072943140864,0.0072943140864,0.0072943140864,0.00033296249287111107,0.0003315597312,0.0001657798656,,0.00033296249287111107,0.0003315597312,0.0001657798656,,0.00033296249287111107,0.0003315597312,0.0001657798656,0.0029840375808,0.0018235785216,0.0018235785216,0.0036471570432,0.0036471570432,0.0036471570432
-> Demix [PetaFLOP/s],0.038931981480391106,,,,,,,,0.038931981480391106,,,,,,,,0.038931981480391106,,,,,,,,0.019465990740195553,,,,0.019465990740195553,,,,0.019465990740195553,,,,,,,,
-> Average [PetaFLOP/s],1.916330894222222e-05,,,,,,,,1.916330894222222e-05,,,,,,,,1.916330894222222e-05,,,,,,,,9.58165447111111e-06,,,,9.58165447111111e-06,,,,9.58165447111111e-06,,,,,,,,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.01935340469249442,0.0008012892867005584,0.17418064224164254,0.008310558861760964,0.024530727798126886,0.0602228511784518,,,0.01935340469249442,0.0008012892867005584,0.04421446795506498,0.008310558861760964,0.024530727798126886,0.0602228511784518,,,0.01935340469249442,0.0008012892867005584,0.04421446795506498,0.008310558861760964,0.024530727798126886,0.0602228511784518,,,0.005563332352963752,0.0001744816842966966,,,0.005563332352963752,0.0001744816842966966,,,0.011283199408968186,0.0005067883972962737,0.10154879468184132,0.005286749232653583,0.005434094034541458,0.01476862622759864,0.23693198205604601,
-> FFT [PetaFLOP/s],,0.0033620343312670393,0.0013011889460804883,0.030258308977535283,0.014494947170680972,0.04584691746274236,0.14110940092477234,,,0.0033620343312670393,0.0013011889460804883,0.026289356622408975,0.014494947170680972,0.04584691746274236,0.14110940092477234,,,0.0033620343312670393,0.0013011889460804883,0.026289356622408975,0.014494947170680972,0.04584691746274236,0.14110940092477234,,,0.0007560398384368175,0.0006577268514461964,,,0.0007560398384368175,0.0006577268514461964,,,0.0022615174795790004,0.0006515938059366219,0.020353657315727254,0.007530220140635624,0.0014393408637713846,0.024032828431669186,0.8027293875773976,
-> IFFT [PetaFLOP/s],,0.016810171656335197,0.0013011889460804883,0.1512915448876764,0.014494947170680972,0.018338766985096944,0.018814586789969646,,,0.016810171656335197,0.0013011889460804883,0.13144678311204488,0.014494947170680972,0.018338766985096944,0.018814586789969646,,,0.016810171656335197,0.0013011889460804883,0.13144678311204488,0.014494947170680972,0.018338766985096944,0.018814586789969646,,,0.0037801991921840865,0.0006577268514461964,,,0.0037801991921840865,0.0006577268514461964,,,0.011307587397895003,0.0006515938059366219,0.10176828657863628,0.007530220140635624,0.007196704318856922,0.009613131372667675,0.0024497356798626646,
-> Solve [PetaFLOP/s],,9.607752362666669e-05,,0.012190045525333336,,,,,,9.607752362666669e-05,,0.012190045525333336,,,,,,9.607752362666669e-05,,0.012190045525333336,,,,,,4.8038761813333347e-05,,,,4.8038761813333347e-05,,,,4.8038761813333347e-05,,0.006099049294506668,,,,,
-> Degrid [PetaFLOP/s],,0.006995342284615622,0.00044462071528562273,0.06295808056395234,0.018445812195738247,0.009703598764862048,0.025533697778787324,,,0.006995342284615622,0.00044462071528562273,0.025144710909317886,0.018445812195738247,0.009703598764862048,0.025533697778787324,,,0.006995342284615622,0.00044462071528562273,0.025144710909317886,0.018445812195738247,0.009703598764862048,0.025533697778787324,,,0.002050059018038661,0.00012814150941928225,,,0.002050059018038661,0.00012814150941928225,,,0.004554833164205695,0.00024128112830460697,0.04099349847817465,0.01052262637596524,0.002145765581623208,0.00533849686163944,0.05482898575055006,
-> Reprojection [PetaFLOP/s],,9.420144261757161e-05,,0.0008478129835581445,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,9.420144261757161e-05,,0.0002616706739376989,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,9.420144261757161e-05,,0.0002616706739376989,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,4.7590626097866115e-05,,,,4.7590626097866115e-05,,,,4.716937744850901e-05,,0.000424524397036581,0.0001235670896046713,3.089177240116782e-06,0.0006178354480233564,0.08098092784331737,
-> Identify Component [PetaFLOP/s],,,,0.0020999424020490794,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,8.447219223737021e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,8.447219223737021e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,,,,,,,,,0.0007843509167983527,6.103822138041579e-06,6.103822138041579e-06,0.00043598729557439844,0.05714572680552755,
-> Reprojection Predict [PetaFLOP/s],,0.000471007213087858,,0.004239064917790722,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.000471007213087858,,0.0013083533696884946,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.000471007213087858,,0.0013083533696884946,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.0002379531304893306,,,,0.0002379531304893306,,,,0.000235846887242545,,0.002122621985182905,0.0001235670896046713,3.089177240116782e-06,0.0002471341792093426,0.0002471341792093426,
-> Gridding Kernel Update [PetaFLOP/s],,0.01935340469249442,0.0008012892867005584,0.17418064224164254,0.008310558861760964,0.024530727798126886,0.0602228511784518,,,0.01935340469249442,0.0008012892867005584,0.04421446795506498,0.008310558861760964,0.024530727798126886,0.0602228511784518,,,0.01935340469249442,0.0008012892867005584,0.04421446795506498,0.008310558861760964,0.024530727798126886,0.0602228511784518,,,0.005563332352963752,0.0001744816842966966,,,0.005563332352963752,0.0001744816842966966,,,0.011283199408968186,0.0005067883972962737,0.10154879468184132,0.005286749232653583,0.005434094034541458,0.01476862622759864,0.23693198205604601,
-> Phase Rotation Predict [PetaFLOP/s],,0.001663740586666667,0.0,0.014973665280000005,0.0,0.0,0.0,,,0.001663740586666667,0.0,0.0,0.0,0.0,0.0,,,0.001663740586666667,0.0,0.0,0.0,0.0,0.0,,,0.0008318702933333335,0.0,,,0.0008318702933333335,0.0,,,0.0005323969877333335,0.0,0.004791572889600001,0.0,0.0,0.0,0.0,
-> Correct [PetaFLOP/s],,0.002281701376,0.000285212672,0.020535312384000005,0.012549357568,0.025098715136,0.025098715136,0.025098715136,,0.002281701376,0.000285212672,0.020535312384000005,0.012549357568,0.025098715136,0.025098715136,0.025098715136,,0.002281701376,0.000285212672,0.020535312384000005,0.012549357568,0.025098715136,0.025098715136,0.025098715136,,0.001140850688,0.000142606336,,,0.001140850688,0.000142606336,,,0.001140850688,0.000142606336,0.010267656192000003,0.006274678784,0.006274678784,0.012549357568,0.012549357568,0.012549357568
-> Grid [PetaFLOP/s],,0.006995342284615622,0.00044462071528562273,0.06295808056395234,0.018445812195738247,0.009703598764862048,0.025533697778787324,,,0.006995342284615622,0.00044462071528562273,0.025144710909317886,0.018445812195738247,0.009703598764862048,0.025533697778787324,,,0.006995342284615622,0.00044462071528562273,0.025144710909317886,0.018445812195738247,0.009703598764862048,0.025533697778787324,,,0.002050059018038661,0.00012814150941928225,,,0.002050059018038661,0.00012814150941928225,,,0.004554833164205695,0.00024128112830460697,0.04099349847817465,0.01052262637596524,0.002145765581623208,0.00533849686163944,0.05482898575055006,
-> Phase Rotation [PetaFLOP/s],,0.001663740586666667,0.0,0.014973665280000005,0.0,0.0,0.0,,,0.001663740586666667,0.0,0.0,0.0,0.0,0.0,,,0.001663740586666667,0.0,0.0,0.0,0.0,0.0,,,0.0008318702933333335,0.0,,,0.0008318702933333335,0.0,,,0.0005323969877333335,0.0,0.004791572889600001,0.0,0.0,0.0,0.0,
-> Subtract Visibility [PetaFLOP/s],,4.753544533333334e-06,2.376772266666667e-06,4.27819008e-05,2.6144494933333337e-05,5.228898986666667e-05,5.228898986666667e-05,,,4.753544533333334e-06,2.376772266666667e-06,4.27819008e-05,2.6144494933333337e-05,5.228898986666667e-05,5.228898986666667e-05,,,4.753544533333334e-06,2.376772266666667e-06,4.27819008e-05,2.6144494933333337e-05,5.228898986666667e-05,5.228898986666667e-05,,,2.376772266666667e-06,1.1883861333333334e-06,,,2.376772266666667e-06,1.1883861333333334e-06,,,2.376772266666667e-06,1.1883861333333334e-06,2.13909504e-05,1.3072247466666668e-05,1.3072247466666668e-05,2.6144494933333337e-05,2.6144494933333337e-05,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> DFT [PetaFLOP/s],,0.03956984687274667,0.03956984687274667,0.35612862185472005,0.4352683156002134,0.4352683156002134,0.4352683156002134,,,0.03956984687274667,0.03956984687274667,0.35612862185472005,0.4352683156002134,0.4352683156002134,0.4352683156002134,,,0.03956984687274667,0.03956984687274667,0.35612862185472005,0.4352683156002134,0.4352683156002134,0.4352683156002134,,,0.019784923436373336,0.019784923436373336,,,0.019784923436373336,0.019784923436373336,,,0.019784923436373336,0.019784923436373336,0.17806431092736003,0.2176341578001067,0.2176341578001067,0.2176341578001067,0.2176341578001067,
-> Visibility Weighting [PetaFLOP/s],,3.458487151902317e-05,7.82210329304302e-06,0.0003112638436712085,1.555366396940037e-05,3.110732793880074e-05,8.33732434216743e-05,,,3.458487151902317e-05,7.82210329304302e-06,6.668875716269109e-05,1.555366396940037e-05,3.110732793880074e-05,8.33732434216743e-05,,,3.458487151902317e-05,7.82210329304302e-06,6.668875716269109e-05,1.555366396940037e-05,3.110732793880074e-05,8.33732434216743e-05,,,1.0596439699691477e-05,2.8181539303825797e-06,,,1.0596439699691477e-05,2.8181539303825797e-06,,,2.1917442854036547e-05,4.570030630686876e-06,0.00019725698568632895,9.385705604687057e-06,9.385705604687057e-06,1.8771411209374115e-05,5.448631092517375e-05,
-> Receive [Tera/s],0.028744963413333328,,,,,,,,0.028744963413333328,,,,,,,,0.028744963413333328,,,,,,,,0.014372481706666664,,,,0.014372481706666664,,,,0.014372481706666664,,,,,,,,
-> Flag [Tera/s],0.028744963413333328,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,0.3137339392,0.028744963413333328,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,0.3137339392,0.028744963413333328,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,0.3137339392,0.014372481706666664,0.0142606336,0.0071303168,,0.014372481706666664,0.0142606336,0.0071303168,,0.014372481706666664,0.0142606336,0.0071303168,0.1283457024,0.0784334848,0.0784334848,0.1568669696,0.1568669696,0.1568669696
-> Demix [Tera/s],0.028744963413333328,,,,,,,,0.028744963413333328,,,,,,,,0.028744963413333328,,,,,,,,0.014372481706666664,,,,0.014372481706666664,,,,0.014372481706666664,,,,,,,,
-> Average [Tera/s],0.028521267200000002,,,,,,,,0.028521267200000002,,,,,,,,0.028521267200000002,,,,,,,,0.014260633600000001,,,,0.014260633600000001,,,,0.014260633600000001,,,,,,,,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Degridding Kernel Update [Tera/s],,50.67933219689514,4.2833204831240375,456.11398991241936,30.800439315261297,198.85863595150465,360.9532093392827,,,50.67933219689514,4.2833204831240375,307.16715117270655,30.800439315261297,198.85863595150465,360.9532093392827,,,50.67933219689514,4.2833204831240375,307.16715117270655,30.800439315261297,198.85863595150465,360.9532093392827,,,8.215426416579453,0.10927543888721221,,,8.215426416579453,0.10927543888721221,,,28.006061483680988,2.3631706345527914,252.05455336764683,15.825544031331429,17.701405283999993,98.2957951214341,4535.588787881906,
-> FFT [Tera/s],,0.015072230818811459,0.155064103074192,0.13565007736930312,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.007614500175658578,0.07833847917344214,,,0.007614500175658578,0.07833847917344214,,,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.019770734336747406,0.003954146867349481,0.09885367168373703,12.95694845493078,
-> IFFT [Tera/s],,0.07537383362330989,0.1550922798058644,0.678364502609789,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.07537383362330989,0.1550922798058644,0.20934921867941175,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.07537383362330989,0.1550922798058644,0.20934921867941175,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.03807887352826001,0.07835264061781354,,,0.03807887352826001,0.07835264061781354,,,0.03774057746561315,0.07765916438887902,0.33966519719051835,0.019772888294111043,0.019772888294111043,0.03954577658822209,0.03954577658822209,
-> Solve [Tera/s],,1.31072e-07,,2.730666666666667e-06,,,,,,1.31072e-07,,2.730666666666667e-06,,,,,,1.31072e-07,,2.730666666666667e-06,,,,,,6.5536e-08,,,,6.5536e-08,,,,6.5536e-08,,1.8896213333333336e-06,,,,,
-> Degrid [Tera/s],,0.025938653639267378,0.005866577469782265,0.23344788275340636,0.05832623988525139,0.023330495954100555,0.06252993256625572,,,0.025938653639267378,0.005866577469782265,0.05001656787201832,0.05832623988525139,0.023330495954100555,0.06252993256625572,,,0.025938653639267378,0.005866577469782265,0.05001656787201832,0.05832623988525139,0.023330495954100555,0.06252993256625572,,,0.007947329774768606,0.002113615447786935,,,0.007947329774768606,0.002113615447786935,,,0.016438082140527412,0.003427522973015157,0.14794273926474671,0.03519639601757646,0.007039279203515292,0.014078558407030584,0.04086473319388031,
-> Reprojection [Tera/s],,0.015072230818811459,,0.13565007736930312,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.015072230818811459,,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.015072230818811459,,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.007614500175658578,,,,0.007614500175658578,,,,0.00754710039176144,,0.06792390352585298,0.019770734336747406,0.0004942683584186851,0.09885367168373703,12.95694845493078,
-> Identify Component [Tera/s],,,,2e-08,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,,,,,,,,,7.466666666666667e-09,5.703703703703703e-11,5.703703703703703e-11,4.074074074074074e-09,5.33997037037037e-07,
-> Reprojection Predict [Tera/s],,0.0753611540940573,,0.6782503868465156,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.0753611540940573,,0.20933653915015912,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.0753611540940573,,0.20933653915015912,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.038072500878292885,,,,0.038072500878292885,,,,0.037735501958807205,,0.33961951762926484,0.019770734336747406,0.0004942683584186851,0.03954146867349481,0.03954146867349481,
-> Gridding Kernel Update [Tera/s],,50.67933219689514,4.2833204831240375,456.11398991241936,30.800439315261297,198.85863595150465,360.9532093392827,,,50.67933219689514,4.2833204831240375,307.16715117270655,30.800439315261297,198.85863595150465,360.9532093392827,,,50.67933219689514,4.2833204831240375,307.16715117270655,30.800439315261297,198.85863595150465,360.9532093392827,,,8.215426416579453,0.10927543888721221,,,8.215426416579453,0.10927543888721221,,,28.006061483680988,2.3631706345527914,252.05455336764683,15.825544031331429,17.701405283999993,98.2957951214341,4535.588787881906,
-> Phase Rotation Predict [Tera/s],,0.71303168,0.0,6.41728512,0.0,0.0,0.0,,,0.71303168,0.0,0.0,0.0,0.0,0.0,,,0.71303168,0.0,0.0,0.0,0.0,0.0,,,0.35651584,0.0,,,0.35651584,0.0,,,0.2281701376,0.0,2.0535312384,0.0,0.0,0.0,0.0,
-> Correct [Tera/s],,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,0.3137339392,,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,0.3137339392,,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,0.3137339392,,0.0142606336,0.0071303168,,,0.0142606336,0.0071303168,,,0.0142606336,0.0071303168,0.1283457024,0.0784334848,0.0784334848,0.1568669696,0.1568669696,0.1568669696
-> Grid [Tera/s],,4.620803729444363,95.72333481180064,41.58723356499927,17.12571740286708,6.850286961146832,9.872608699955654,,,4.620803729444363,95.72333481180064,25.19990484141905,17.12571740286708,6.850286961146832,9.872608699955654,,,4.620803729444363,95.72333481180064,25.19990484141905,17.12571740286708,6.850286961146832,9.872608699955654,,,1.4304899494407755,37.40371635744533,,,1.4304899494407755,37.40371635744533,,,3.5110689662587973,54.44784855356869,31.599620696329172,10.404637199194854,2.0809274398389705,4.161854879677941,8.098975045267883,
-> Phase Rotation [Tera/s],,0.025938653639267378,0.0,0.23344788275340636,0.0,0.0,0.0,,,0.025938653639267378,0.0,0.0,0.0,0.0,0.0,,,0.025938653639267378,0.0,0.0,0.0,0.0,0.0,,,0.007947329774768606,0.0,,,0.007947329774768606,0.0,,,0.016438082140527412,0.0,0.14794273926474671,0.0,0.0,0.0,0.0,
-> Subtract Visibility [Tera/s],,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,,,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,,,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,,,0.0142606336,0.0071303168,,,0.0142606336,0.0071303168,,,0.0142606336,0.0071303168,0.1283457024,0.0784334848,0.0784334848,0.1568669696,0.1568669696,
-> Subtract Image Component [Tera/s],,,,0.0007065108196317871,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,0.0002180588949480824,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,0.0002180588949480824,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,,,,,,,,,0.0004127320526744538,4.805386817959439e-05,4.805386817959439e-05,0.003432419155685313,0.44989404357398544,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> DFT [Tera/s],,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,,,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,,,0.0285212672,0.0142606336,0.2566914048,0.1568669696,0.3137339392,0.3137339392,,,0.0142606336,0.0071303168,,,0.0142606336,0.0071303168,,,0.0142606336,0.0071303168,0.1283457024,0.0784334848,0.0784334848,0.1568669696,0.1568669696,
-> Visibility Weighting [Tera/s],,0.008489343041206956,0.001263486962536448,0.07640408737086261,0.0023695760017661952,0.0047391520035323905,0.007981393201929749,,,0.008489343041206956,0.001263486962536448,0.00648473413237031,0.0023695760017661952,0.0047391520035323905,0.007981393201929749,,,0.008489343041206956,0.001263486962536448,0.00648473413237031,0.0023695760017661952,0.0047391520035323905,0.007981393201929749,,,0.004244671520603478,0.000631743481268224,,,0.004244671520603478,0.000631743481268224,,,0.003157215191190733,0.000631743481268224,0.0284149367207166,0.0011847880008830976,0.0011847880008830976,0.0023695760017661952,0.003990696600964874,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
