,hpso01 (Ingest) [Na=32],hpso01 (RCAL) [Na=32],hpso01 (FastImg) [Na=32],hpso01 (ICAL) [Na=32],hpso01 (DPrepA) [Na=32],hpso01 (DPrepB) [Na=32],hpso01 (DPrepC) [Na=32],hpso01 (DPrepD) [Na=32],hpso02a (Ingest) [Na=32],hpso02a (RCAL) [Na=32],hpso02a (FastImg) [Na=32],hpso02a (ICAL) [Na=32],hpso02a (DPrepA) [Na=32],hpso02a (DPrepB) [Na=32],hpso02a (DPrepC) [Na=32],hpso02a (DPrepD) [Na=32],hpso02b (Ingest) [Na=32],hpso02b (RCAL) [Na=32],hpso02b (FastImg) [Na=32],hpso02b (ICAL) [Na=32],hpso02b (DPrepA) [Na=32],hpso02b (DPrepB) [Na=32],hpso02b (DPrepC) [Na=32],hpso02b (DPrepD) [Na=32],hpso04a (Ingest) [Nf_max=32768] [Na=32],hpso04a (RCAL) [Nf_max=32768] [Na=32],hpso04a (FastImg) [Nf_max=32768] [Na=32],hpso04a (PSS) [Nf_max=32768] [Na=32],hpso05a (Ingest) [Nf_max=32768] [Na=32],hpso05a (RCAL) [Nf_max=32768] [Na=32],hpso05a (FastImg) [Nf_max=32768] [Na=32],hpso05a (PST) [Nf_max=32768] [Na=32],max_low (Ingest) [Nf_max=32768] [Na=32],max_low (RCAL) [Nf_max=32768] [Na=32],max_low (FastImg) [Nf_max=32768] [Na=32],max_low (ICAL) [Nf_max=32768] [Na=32],max_low (DPrepA) [Nf_max=32768] [Na=32],max_low (DPrepA_Image) [Nf_max=32768] [Na=32],max_low (DPrepB) [Nf_max=32768] [Na=32],max_low (DPrepC) [Nf_max=32768] [Na=32],max_low (DPrepD) [Nf_max=32768] [Na=32]
Calibration output [GB],0.0,0.147456,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.147456,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.147456,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.0196608,0.0,(undefined),0.0,0.0196608,0.0,(undefined),0.0,0.1769472,0.0,1.2447744,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,0.380928,0.0,119.04,0.0,0.0,0.0,0.0,0.0,0.380928,0.0,119.04,0.0,0.0,0.0,0.0,0.0,0.380928,0.0,119.04,0.0,0.0,0.0,0.0,0.0,0.63488,0.0,(undefined),0.0,0.63488,0.0,(undefined),0.0,0.2720914285714286,0.0,117.67954285714286,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.016384,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.016384,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.016384,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.027306666666666667,0.0,(undefined),0.0,0.027306666666666667,0.0,(undefined),0.0,0.011702857142857143,0.0,5.061485714285714,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.009184640655213232,0.0012598958374778098,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0012598958374778098,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0012598958374778098,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.012877240043442957,0.0017664252460141228,0.0017664252460141228,0.12617323185815163,11.484567948688646,(undefined)
Working (cache) memory [TeraBytes],(undefined),0.012889420318016657,0.0001388700144050053,0.007721970810397937,0.001748034712174446,0.004172628355407221,0.0013296105497133505,(undefined),(undefined),0.012889420318016657,0.0001388700144050053,0.005293131079161659,0.001748034712174446,0.004172628355407221,0.0013296105497133505,(undefined),(undefined),0.012889420318016657,0.0001388700144050053,0.005293131079161659,0.001748034712174446,0.004172628355407221,0.0013296105497133505,(undefined),(undefined),0.0017991993276615724,4.750752780673289e-06,(undefined),(undefined),0.0017991993276615724,4.750752780673289e-06,(undefined),(undefined),0.00633594329456697,7.94852074305934e-05,0.003749879058587176,0.0005251828058000773,0.0008348628507313518,0.0020442994149102956,0.01878173516634557,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.03321888768,0.03321888768,0.01660944384,0.03321888768,0.01660944384,0.03321888768,0.03321888768,0.03321888768,0.03321888768,0.03321888768,0.01660944384,0.03321888768,0.01660944384,0.03321888768,0.03321888768,0.03321888768,0.03321888768,0.03321888768,0.01660944384,0.03321888768,0.01660944384,0.03321888768,0.03321888768,0.03321888768,0.0022145925120000006,0.0022145925120000006,0.0011072962560000003,0.002102152,0.0022145925120000006,0.0022145925120000006,0.0011072962560000003,0.00077309411328,0.019931332608000004,0.019931332608000004,0.009965666304000002,0.019931332608000004,0.009965666304000002,0.009965666304000002,0.019931332608000004,0.019931332608000004,0.019931332608000004
Total buffer ingest rate [TeraBytes/s],0.0018454937600000001,0.0018454937600000001,0.0009227468800000001,0.0018454937600000001,0.0009227468800000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0009227468800000001,0.0018454937600000001,0.0009227468800000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0009227468800000001,0.0018454937600000001,0.0009227468800000001,0.0018454937600000001,0.0018454937600000001,0.0018454937600000001,0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,(undefined),0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,(undefined),0.0009227468800000001,0.0009227468800000001,0.00046137344000000003,0.0009227468800000001,0.00046137344000000003,0.00046137344000000003,0.0009227468800000001,0.0009227468800000001,0.0009227468800000001
Output size [TB],0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,14.246514469941387,0.780140544,0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,14.246514469941387,0.780140544,0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,14.246514469941387,0.780140544,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.08122838554363401,0.08122838554363401,2.7963870433054336,311.6735055613349,0.9361686528
Buffer Read Rate [TeraBytes/s],0.0017336456533333332,0.00278935009795593,0.0010039958430339624,0.01394675048977965,0.003099416421199283,0.006198832842398566,0.01204795011640755,0.01204795011640755,0.0017336456533333332,0.00278935009795593,0.0010039958430339624,0.009297955897530744,0.003099416421199283,0.006198832842398566,0.01204795011640755,0.01204795011640755,0.0017336456533333332,0.00278935009795593,0.0010039958430339624,0.009297955897530744,0.003099416421199283,0.006198832842398566,0.01204795011640755,0.01204795011640755,0.0008668228266666666,0.0008546280049824675,0.0003076139285246674,0.0008758966666666667,0.0008668228266666666,0.0008546280049824675,0.0003076139285246674,0.0003221225472,0.0008668228266666666,0.0017336456533333332,0.0007048997982320132,0.008668228266666668,0.0021760826976372767,0.0021760826976372767,0.004352165395274553,0.01040187392,0.008458797578784158
Facet visibility rate [TeraBytes/s],0.0,3.2012751608076237e-06,0.00011560042719646526,4.200323108784906e-05,1.695559185096681e-05,7.725053085035412e-05,0.0014760326993690511,(undefined),0.0,3.2012751608076237e-06,0.00011560042719646526,4.000457719049728e-05,1.695559185096681e-05,7.725053085035412e-05,0.0014760326993690511,(undefined),0.0,3.2012751608076237e-06,0.00011560042719646526,4.000457719049728e-05,1.695559185096681e-05,7.725053085035412e-05,0.0014760326993690511,(undefined),0.0,1.4299256980993567e-06,3.541876386599484e-05,(undefined),0.0,1.4299256980993567e-06,3.541876386599484e-05,(undefined),0.0,2.794338937786252e-06,8.116240240133531e-05,2.9490223125796455e-05,1.5653227118729874e-05,1.1904420456494338e-05,5.173304885699878e-05,0.0024839347627652743,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.015072230818811459,0.155064103074192,0.13565007736930312,0.05685683779387039,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387039,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387039,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.028469857444916265,0.005693971488983253,0.14234928722458132,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.002542659469084445,0.007274451785808003,0.004416403152961977,0.07669361278045465,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.002542659469084445,0.007274451785808003,0.004416403152961977,0.03900344288575328,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.002542659469084445,0.007274451785808003,0.004416403152961977,0.03900344288575328,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.0012713297345422225,0.002109245989455071,0.001866939790081101,0.00050088,0.0012713297345422225,0.002109245989455071,0.001866939790081101,2.755e-07,0.0012713297345422225,0.004398929099677824,0.002575045033710703,0.045403621903502146,0.01071365636603659,0.008931265867271106,0.02068222719262812,0.7592959494184338,0.0008005899458420091
-> DFT [PetaFLOP/s],,0.002425864787879286,0.0017463266189339766,0.021832783090913573,0.009883594606427277,0.009883594606427277,0.01920959280827374,,,0.002425864787879286,0.0017463266189339766,0.01455538008286808,0.009883594606427277,0.009883594606427277,0.01920959280827374,,,0.002425864787879286,0.0017463266189339766,0.01455538008286808,0.009883594606427277,0.009883594606427277,0.01920959280827374,,,0.0007432598674299673,0.0005350563903871746,,,0.0007432598674299673,0.0005350563903871746,,,0.0015077311192177778,0.0012260860339957734,0.01356958007296,0.006939215739582816,0.006939215739582816,0.006939215739582816,0.016585042311395556,
-> Subtract Visibility [PetaFLOP/s],,2.3244584149632753e-07,8.36663202528302e-08,2.0920125734669475e-06,4.735219532387793e-07,9.470439064775586e-07,1.8406590455622645e-06,,,2.3244584149632753e-07,8.36663202528302e-08,1.3946933846296118e-06,4.735219532387793e-07,9.470439064775586e-07,1.8406590455622645e-06,,,2.3244584149632753e-07,8.36663202528302e-08,1.3946933846296118e-06,4.735219532387793e-07,9.470439064775586e-07,1.8406590455622645e-06,,,7.121900041520562e-08,2.563449404372228e-08,,,7.121900041520562e-08,2.563449404372228e-08,,,1.444704711111111e-07,5.874164985266776e-08,1.30023424e-06,3.324570788056949e-07,3.324570788056949e-07,6.649141576113898e-07,1.5891751822222224e-06,
-> Flag [PetaFLOP/s],4.275393877333334e-05,3.242619488873769e-05,1.1671451675269813e-05,0.00029183575399863924,6.605631247680972e-05,0.00013211262495361944,0.0002567719368559359,0.0002567719368559359,4.275393877333334e-05,3.242619488873769e-05,1.1671451675269813e-05,0.00019455972715583085,6.605631247680972e-05,0.00013211262495361944,0.0002567719368559359,0.0002567719368559359,4.275393877333334e-05,3.242619488873769e-05,1.1671451675269813e-05,0.00019455972715583085,6.605631247680972e-05,0.00013211262495361944,0.0002567719368559359,0.0002567719368559359,2.137696938666667e-05,9.935050557921184e-06,3.5760119190992586e-06,,2.137696938666667e-05,9.935050557921184e-06,3.5760119190992586e-06,,2.137696938666667e-05,2.015363072e-05,8.194460154447154e-06,0.00018138267648,4.637776249339445e-05,4.637776249339445e-05,9.27555249867889e-05,0.00022168993792,0.00018027812339783738
-> Degrid [PetaFLOP/s],,0.00019850163297317443,1.0215377531464877e-05,0.0017693287885719544,0.0007533233306075377,0.0005380727812952467,0.0027837670434874696,,,0.00019850163297317443,1.0215377531464877e-05,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0027837670434874696,,,0.00019850163297317443,1.0215377531464877e-05,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0027837670434874696,,,4.817409755243913e-05,2.1990071552183827e-06,,,4.817409755243913e-05,2.1990071552183827e-06,,,0.00013370395034615376,6.8220064866570715e-06,0.0011158715927140866,0.00045121579160902403,9.798217474652373e-05,0.00032294371142517015,0.01833936117514719,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Visibility Weighting [PetaFLOP/s],,7.213540029019844e-07,1.5413390292862034e-07,5.6004308117132075e-06,5.651863950322271e-07,9.270063702042492e-07,1.9680435991587347e-06,,,7.213540029019844e-07,1.5413390292862034e-07,2.6136323764458222e-06,5.651863950322271e-07,9.270063702042492e-07,1.9680435991587347e-06,,,7.213540029019844e-07,1.5413390292862034e-07,2.6136323764458222e-06,5.651863950322271e-07,9.270063702042492e-07,1.9680435991587347e-06,,,1.906567597465809e-07,4.722501848799312e-08,,,1.906567597465809e-07,4.722501848799312e-08,,,4.50820015296182e-07,1.0821653653511375e-07,3.932029750106194e-06,3.339355118662373e-07,3.96814015216478e-07,6.207965862839854e-07,3.3119130170203653e-06,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Demix [PetaFLOP/s],0.002498057192106667,,,,,,,,0.002498057192106667,,,,,,,,0.002498057192106667,,,,,,,,0.0012490285960533335,,,,0.0012490285960533335,,,,0.0012490285960533335,,,,,,,,
-> FFT [PetaFLOP/s],,0.00015914924243144246,0.001301189055596688,0.00248238926277984,0.0005759103749516668,0.003682361006530673,0.03325919971069777,,,0.00015914924243144246,0.001301189055596688,0.000857947336445506,0.0005759103749516668,0.003682361006530673,0.03325919971069777,,,0.00015914924243144246,0.001301189055596688,0.000857947336445506,0.0005759103749516668,0.003682361006530673,0.03325919971069777,,,5.970038794134683e-05,0.0006577268467344917,,,5.970038794134683e-05,0.0006577268467344917,,,0.00010475816784099458,0.0006515938546313991,0.0013368818246216221,0.0005050209443722215,6.249014130114542e-05,0.0019745459663219013,0.17864369321896167,
-> Grid [PetaFLOP/s],,0.00019850163297317443,1.0215377531464877e-05,0.0017693287885719544,0.0007533233306075377,0.0005380727812952467,0.0027837670434874696,,,0.00019850163297317443,1.0215377531464877e-05,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0027837670434874696,,,0.00019850163297317443,1.0215377531464877e-05,0.0008895101665714178,0.0007533233306075377,0.0005380727812952467,0.0027837670434874696,,,4.817409755243913e-05,2.1990071552183827e-06,,,4.817409755243913e-05,2.1990071552183827e-06,,,0.00013370395034615376,6.8220064866570715e-06,0.0011158715927140866,0.00045121579160902403,9.798217474652373e-05,0.00032294371142517015,0.01833936117514719,
-> Gridding Kernel Update [PetaFLOP/s],,0.0008409636278031809,1.2659228721451553e-05,0.007427030600867084,0.0006348682727179691,0.0025246410008252914,0.008374310917920362,,,0.0008409636278031809,1.2659228721451553e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008374310917920362,,,0.0008409636278031809,1.2659228721451553e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008374310917920362,,,0.00019033217533834314,2.6533405988142004e-06,,,0.00019033217533834314,2.6533405988142004e-06,,,0.0005648834154121548,8.358430577830869e-06,0.004559900505462593,0.0003723843506310319,0.00040514268860544257,0.0014689035430795595,0.08169808176166844,
-> Correct [PetaFLOP/s],,0.0001115740039182372,1.0039958430339624e-05,0.0010041660352641348,0.00022729053755461408,0.00045458107510922815,0.0008835163418698869,0.0008835163418698869,,0.0001115740039182372,1.0039958430339624e-05,0.0006694528246222135,0.00022729053755461408,0.00045458107510922815,0.0008835163418698869,0.0008835163418698869,,0.0001115740039182372,1.0039958430339624e-05,0.0006694528246222135,0.00022729053755461408,0.00045458107510922815,0.0008835163418698869,0.0008835163418698869,,3.41851201992987e-05,3.0761392852466735e-06,,,3.41851201992987e-05,3.0761392852466735e-06,,,6.934582613333334e-05,7.048997982320132e-06,0.0006241124352000001,0.00015957939782673358,0.00015957939782673358,0.00031915879565346715,0.0007628040874666668,0.0006203118224441716
-> IFFT [PetaFLOP/s],,0.0007957462121572124,0.001301189055596688,0.012411946313899205,0.0005759103749516668,0.0014729444026122694,0.00443455996142637,,,0.0007957462121572124,0.001301189055596688,0.00428973668222753,0.0005759103749516668,0.0014729444026122694,0.00443455996142637,,,0.0007957462121572124,0.001301189055596688,0.00428973668222753,0.0005759103749516668,0.0014729444026122694,0.00443455996142637,,,0.0002985019397067342,0.0006577268467344917,,,0.0002985019397067342,0.0006577268467344917,,,0.0005237908392049728,0.0006515938546313991,0.00668440912310811,0.0005050209443722215,0.00031245070650572716,0.0007898183865287606,0.0005451772864348195,
-> Identify Component [PetaFLOP/s],,,,0.008394470777049079,0.00025673987797462087,0.009261587886350975,0.0031390186007311965,,,,,0.004113210217021813,0.00025673987797462087,0.009261587886350975,0.0031390186007311965,,,,,0.004113210217021813,0.00025673987797462087,0.009261587886350975,0.0031390186007311965,,,,,,,,,,,,,0.004896776121798353,9.591199340692802e-05,0.00014976518061526135,0.003859012938127134,0.05714572680552755,
-> Average [PetaFLOP/s],1.2303291733333335e-06,,,,,,,,1.2303291733333335e-06,,,,,,,,1.2303291733333335e-06,,,,,,,,6.151645866666667e-07,,,,6.151645866666667e-07,,,,6.151645866666667e-07,,,,,,,,
-> Phase Rotation Predict [PetaFLOP/s],,0.000549966860980311,0.0,0.002928817602853726,0.0008286634181678637,0.00011932753221617238,0.0,,,0.000549966860980311,0.0,0.0009567596618559138,0.0008286634181678637,0.00011932753221617238,0.0,,,0.000549966860980311,0.0,0.0009567596618559138,0.0008286634181678637,0.00011932753221617238,0.0,,,9.970660058128789e-05,0.0,,,9.970660058128789e-05,0.0,,,0.0002447329780622223,0.0,0.0018203279360000004,0.0003723519282623784,0.00011635997758199324,8.377918385903515e-05,0.0,
-> Receive [PetaFLOP/s],6.180090311111111e-07,,,,,,,,6.180090311111111e-07,,,,,,,,6.180090311111111e-07,,,,,,,,3.0900451555555556e-07,,,,3.0900451555555556e-07,,,,3.0900451555555556e-07,,,,,,,,
-> Solve [PetaFLOP/s],,4.66464546992655e-06,,0.0005953890342305984,,,,,,4.66464546992655e-06,,0.0003970404649613118,,,,,,4.66464546992655e-06,,0.0003970404649613118,,,,,,1.4322443283041125e-06,,,,1.4322443283041125e-06,,,,2.8972737422222225e-06,,0.00037007116060444443,,,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.0008409636278031809,1.2659228721451553e-05,0.007427030600867084,0.0006348682727179691,0.0025246410008252914,0.008374310917920362,,,0.0008409636278031809,1.2659228721451553e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008374310917920362,,,0.0008409636278031809,1.2659228721451553e-05,0.003816512381006771,0.0006348682727179691,0.0025246410008252914,0.008374310917920362,,,0.00019033217533834314,2.6533405988142004e-06,,,0.00019033217533834314,2.6533405988142004e-06,,,0.0005648834154121548,8.358430577830869e-06,0.004559900505462593,0.0003723843506310319,0.00040514268860544257,0.0014689035430795595,0.08169808176166844,
-> Phase Rotation [PetaFLOP/s],,0.000549966860980311,0.0,0.002928817602853726,0.00016573268363357274,0.00011932753221617238,0.0,,,0.000549966860980311,0.0,0.0009567596618559138,0.00016573268363357274,0.00011932753221617238,0.0,,,0.000549966860980311,0.0,0.0009567596618559138,0.00016573268363357274,0.00011932753221617238,0.0,,,9.970660058128789e-05,0.0,,,9.970660058128789e-05,0.0,,,0.0002447329780622223,0.0,0.0018203279360000004,7.447038565247568e-05,0.00011635997758199324,8.377918385903515e-05,0.0,
-> Reprojection [PetaFLOP/s],,9.420144261757161e-05,,0.0008478129835581445,0.00035535523621168987,0.0017767761810584494,0.00370161704387177,,,9.420144261757161e-05,,0.00037680577047028644,0.00035535523621168987,0.0017767761810584494,0.00370161704387177,,,9.420144261757161e-05,,0.00037680577047028644,0.00035535523621168987,0.0017767761810584494,0.00370161704387177,,,4.7590626097866115e-05,,,,4.7590626097866115e-05,,,,4.716937744850901e-05,,0.000424524397036581,0.00017793660903072666,4.448415225768167e-06,0.0008896830451536333,0.08098092784331737,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> Reprojection Predict [PetaFLOP/s],,0.000471007213087858,,0.004239064917790722,0.00035535523621168987,0.0007107104724233797,0.0004935489391829027,,,0.000471007213087858,,0.001884028852351432,0.00035535523621168987,0.0007107104724233797,0.0004935489391829027,,,0.000471007213087858,,0.001884028852351432,0.00035535523621168987,0.0007107104724233797,0.0004935489391829027,,,0.0002379531304893306,,,,0.0002379531304893306,,,,0.000235846887242545,,0.002122621985182905,0.00017793660903072666,4.448415225768167e-06,0.0003558732180614533,0.0002471341792093426,
-> DFT [Tera/s],,0.0013946750489779649,0.0005019979215169812,0.012552075440801686,0.002841131719432676,0.005682263438865352,0.011043954273373584,,,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,,,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,,,0.0004273140024912337,0.0001538069642623337,,,0.0004273140024912337,0.0001538069642623337,,,0.0008668228266666667,0.0003524498991160066,0.00780140544,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.009535051093333332,
-> Subtract Visibility [Tera/s],,0.0013946750489779649,0.0005019979215169812,0.012552075440801686,0.002841131719432676,0.005682263438865352,0.011043954273373584,,,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,,,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,,,0.0004273140024912337,0.0001538069642623337,,,0.0004273140024912337,0.0001538069642623337,,,0.0008668228266666667,0.0003524498991160066,0.00780140544,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.009535051093333332,
-> Flag [Tera/s],0.0018454937600000001,0.0013946750489779649,0.0005019979215169812,0.012552075440801686,0.002841131719432676,0.005682263438865352,0.011043954273373584,0.011043954273373584,0.0018454937600000001,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,0.011043954273373584,0.0018454937600000001,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,0.011043954273373584,0.0009227468800000001,0.0004273140024912337,0.0001538069642623337,,0.0009227468800000001,0.0004273140024912337,0.0001538069642623337,,0.0009227468800000001,0.0008668228266666667,0.0003524498991160066,0.00780140544,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.009535051093333332,0.0077538977805521455
-> Degrid [Tera/s],,0.0005410155021764884,0.00011560042719646526,0.004200323108784906,0.0021194489813708517,0.0006952547776531869,0.0014760326993690511,,,0.0005410155021764884,0.00011560042719646526,0.001960224282334367,0.0021194489813708517,0.0006952547776531869,0.0014760326993690511,,,0.0005410155021764884,0.00011560042719646526,0.001960224282334367,0.0021194489813708517,0.0006952547776531869,0.0014760326993690511,,,0.00014299256980993566,3.541876386599484e-05,,,0.00014299256980993566,3.541876386599484e-05,,,0.00033811501147213655,8.116240240133531e-05,0.0029490223125796457,0.0012522581694983897,0.00029761051141235844,0.00046559743971298905,0.0024839347627652743,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Visibility Weighting [Tera/s],,0.0006619447577009391,1.920004697972053e-05,0.0036403848320143367,0.0005385645217981014,0.0004183716670096466,0.00012128587708814815,,,0.0006619447577009391,1.920004697972053e-05,0.001783788567687025,0.0005385645217981014,0.0004183716670096466,0.00012128587708814815,,,0.0006619447577009391,1.920004697972053e-05,0.001783788567687025,0.0005385645217981014,0.0004183716670096466,0.00012128587708814815,,,0.00020224360177857425,9.600023489860266e-06,,,0.00020224360177857425,9.600023489860266e-06,,,0.00024028826183155472,9.600023489860266e-06,0.0018201924160071684,0.00017475509951385797,0.0002692822608990507,0.0002091858335048233,6.0642938544074076e-05,
-> Subtract Image Component [Tera/s],,,,0.0007065108196317871,0.00011845174540389664,0.011845174540389664,0.024677446959145134,,,,,0.00031400480872523863,0.00011845174540389664,0.011845174540389664,0.024677446959145134,,,,,0.00031400480872523863,0.00011845174540389664,0.011845174540389664,0.024677446959145134,,,,,,,,,,,,,0.0004127320526744538,6.919757017861592e-05,6.919757017861592e-05,0.004942683584186851,0.44989404357398544,
-> Demix [Tera/s],0.0018454937600000001,,,,,,,,0.0018454937600000001,,,,,,,,0.0018454937600000001,,,,,,,,0.0009227468800000001,,,,0.0009227468800000001,,,,0.0009227468800000001,,,,,,,,
-> FFT [Tera/s],,0.015072230818811459,0.155064103074192,0.13565007736930312,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.007614500175658578,0.07833847917344214,,,0.007614500175658578,0.07833847917344214,,,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.028469857444916265,0.005693971488983252,0.14234928722458132,12.95694845493078,
-> Grid [Tera/s],,1.778513889556089,142.56682726009865,20.80298931135542,6.460878437789002,4.456655274050345,14.643358433238642,,,1.778513889556089,142.56682726009865,8.805894826411727,6.460878437789002,4.456655274050345,14.643358433238642,,,1.778513889556089,142.56682726009865,8.805894826411727,6.460878437789002,4.456655274050345,14.643358433238642,,,0.7155662221994151,44.13528695640362,,,0.7155662221994151,44.13528695640362,,,1.4776022019222934,100.24125057198171,14.62694451618546,5.677064167879541,0.9085511138616621,3.0715411165847657,32.39590018107153,
-> Gridding Kernel Update [Tera/s],,11.152981300419315,0.06508966003809924,116.77116503852025,7.818227465184588,71.42826699162873,159.31001389054316,,,11.152981300419315,0.06508966003809924,67.82394090045658,7.818227465184588,71.42826699162873,159.31001389054316,,,11.152981300419315,0.06508966003809924,67.82394090045658,7.818227465184588,71.42826699162873,159.31001389054316,,,1.0702198968911882,0.001660558166757095,,,1.0702198968911882,0.001660558166757095,,,8.198051654034924,0.03591091954243107,55.3162601504573,4.4684018859383725,3.9688134622314775,36.392080056062056,1957.627000279621,
-> Correct [Tera/s],,0.0013946750489779649,0.0005019979215169812,0.012552075440801686,0.002841131719432676,0.005682263438865352,0.011043954273373584,0.011043954273373584,,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,0.011043954273373584,,0.0013946750489779649,0.0005019979215169812,0.008368160307777671,0.002841131719432676,0.005682263438865352,0.011043954273373584,0.011043954273373584,,0.0004273140024912337,0.0001538069642623337,,,0.0004273140024912337,0.0001538069642623337,,,0.0008668228266666667,0.0003524498991160066,0.00780140544,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.009535051093333332,0.0077538977805521455
