,hpso01 (Ingest) [Nf_max=65536] [Na=128],hpso01 (RCAL) [Nf_max=65536] [Na=128],hpso01 (FastImg) [Nf_max=65536] [Na=128],hpso01 (ICAL) [Nf_max=65536] [Na=128],hpso01 (DPrepA) [Nf_max=65536] [Na=128],hpso01 (DPrepB) [Nf_max=65536] [Na=128],hpso01 (DPrepC) [Nf_max=65536] [Na=128],hpso01 (DPrepD) [Nf_max=65536] [Na=128],hpso02a (Ingest) [Nf_max=65536] [Na=128],hpso02a (RCAL) [Nf_max=65536] [Na=128],hpso02a (FastImg) [Nf_max=65536] [Na=128],hpso02a (ICAL) [Nf_max=65536] [Na=128],hpso02a (DPrepA) [Nf_max=65536] [Na=128],hpso02a (DPrepB) [Nf_max=65536] [Na=128],hpso02a (DPrepC) [Nf_max=65536] [Na=128],hpso02a (DPrepD) [Nf_max=65536] [Na=128],hpso02b (Ingest) [Nf_max=65536] [Na=128],hpso02b (RCAL) [Nf_max=65536] [Na=128],hpso02b (FastImg) [Nf_max=65536] [Na=128],hpso02b (ICAL) [Nf_max=65536] [Na=128],hpso02b (DPrepA) [Nf_max=65536] [Na=128],hpso02b (DPrepB) [Nf_max=65536] [Na=128],hpso02b (DPrepC) [Nf_max=65536] [Na=128],hpso02b (DPrepD) [Nf_max=65536] [Na=128],hpso04a (Ingest) [Nf_max=65536] [Na=128],hpso04a (RCAL) [Nf_max=65536] [Na=128],hpso04a (FastImg) [Nf_max=65536] [Na=128],hpso04a (PSS) [Nf_max=65536] [Na=128],hpso05a (Ingest) [Na=128],hpso05a (RCAL) [Na=128],hpso05a (FastImg) [Na=128],hpso05a (PST) [Na=128],max_low (Ingest) [Na=128],max_low (RCAL) [Na=128],max_low (FastImg) [Na=128],max_low (ICAL) [Na=128],max_low (DPrepA) [Na=128],max_low (DPrepA_Image) [Na=128],max_low (DPrepB) [Na=128],max_low (DPrepC) [Na=128],max_low (DPrepD) [Na=128]
Calibration output [GB],0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.0786432,0.0,(undefined),0.0,0.0786432,0.0,(undefined),0.0,0.7077888,0.0,4.9790976,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,6.242304,0.0,1950.72,0.0,0.0,0.0,0.0,0.0,6.242304,0.0,1950.72,0.0,0.0,0.0,0.0,0.0,6.242304,0.0,1950.72,0.0,0.0,0.0,0.0,0.0,10.40384,0.0,(undefined),0.0,10.40384,0.0,(undefined),0.0,4.458788571428572,0.0,1928.4260571428574,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.10922666666666667,0.0,(undefined),0.0,0.10922666666666667,0.0,(undefined),0.0,0.04681142857142857,0.0,20.245942857142857,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.009184640655213232,0.0008749276649151458,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0008749276649151458,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0008749276649151458,0.125989583747781,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.012877240043442957,0.0012266841986209188,0.0012266841986209188,0.12617323185815163,11.484567948688646,(undefined)
Working (cache) memory [TeraBytes],(undefined),0.0006097513497261102,0.00013887000478713112,0.0006097513498020869,6.009072238743369e-05,0.00022105453375709775,0.0001368235308627015,(undefined),(undefined),0.0006097513497261102,0.00013887000478713112,0.0002559647475771756,6.009072238743369e-05,0.00022105453375709775,0.0001368235308627015,(undefined),(undefined),0.0006097513497261102,0.00013887000478713112,0.0002559647475771756,6.009072238743369e-05,0.00022105453375709775,0.0001368235308627015,(undefined),(undefined),0.00013756264723354498,4.750752758841974e-06,(undefined),(undefined),0.00013756264723354498,4.750752758841974e-06,(undefined),(undefined),0.0002991824638136487,7.94852014018376e-05,0.000299182363357285,2.9074995734560143e-05,3.3133579420994545e-05,0.00010681716671630145,0.0006390686933466667,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],1.03884521472,1.03884521472,0.51942260736,1.03884521472,0.51942260736,1.03884521472,1.03884521472,1.03884521472,1.03884521472,1.03884521472,0.51942260736,1.03884521472,0.51942260736,1.03884521472,1.03884521472,1.03884521472,1.03884521472,1.03884521472,0.51942260736,1.03884521472,0.51942260736,1.03884521472,1.03884521472,1.03884521472,0.069256347648,0.069256347648,0.034628173824,0.002102152,0.069256347648,0.069256347648,0.034628173824,0.00077309411328,0.623307128832,0.623307128832,0.311653564416,0.623307128832,0.311653564416,0.311653564416,0.623307128832,0.623307128832,0.623307128832
Total buffer ingest rate [TeraBytes/s],0.05771362304,0.05771362304,0.02885681152,0.05771362304,0.02885681152,0.05771362304,0.05771362304,0.05771362304,0.05771362304,0.05771362304,0.02885681152,0.05771362304,0.02885681152,0.05771362304,0.05771362304,0.05771362304,0.05771362304,0.05771362304,0.02885681152,0.05771362304,0.02885681152,0.05771362304,0.05771362304,0.05771362304,0.02885681152,0.02885681152,0.01442840576,(undefined),0.02885681152,0.02885681152,0.01442840576,(undefined),0.02885681152,0.02885681152,0.01442840576,0.02885681152,0.01442840576,0.01442840576,0.02885681152,0.02885681152,0.02885681152
Output size [TB],0.0,0.0,0.0,0.0,0.09497676313294258,5.584633672217024,14.246514469941387,3.196059648,0.0,0.0,0.0,0.0,0.09497676313294258,5.584633672217024,14.246514469941387,3.196059648,0.0,0.0,0.0,0.0,0.09497676313294258,5.584633672217024,14.246514469941387,3.196059648,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.06658064388822461,0.06658064388822461,2.7963870433054336,311.6735055613349,15.3410863104
Buffer Read Rate [TeraBytes/s],0.05681883818666667,0.045709349992310085,0.016452577040685576,0.22854674996155042,0.050790436837717286,0.10158087367543457,0.19743092448822694,0.19743092448822694,0.05681883818666667,0.045709349992310085,0.016452577040685576,0.15236650309501992,0.050790436837717286,0.10158087367543457,0.19743092448822694,0.19743092448822694,0.05681883818666667,0.045709349992310085,0.016452577040685576,0.15236650309501992,0.050790436837717286,0.10158087367543457,0.19743092448822694,0.19743092448822694,0.028409419093333336,0.01400487182358366,0.005040899215823582,0.0008758966666666667,0.028409419093333336,0.01400487182358366,0.005040899215823582,0.0003221225472,0.028409419093333336,0.03209227600946215,0.011551261209737507,0.16046138004731073,0.0356596777548302,0.0356596777548302,0.0713193555096604,0.34091302912,0.1386151345168501
Facet visibility rate [TeraBytes/s],0.0,0.00014062793617200794,0.0018943553876065915,0.0012656514255480718,0.003176952791608526,0.0012659119249025768,0.024187890686434774,(undefined),0.0,0.00014062793617200794,0.0018943553876065915,0.0011813126853014238,0.003176952791608526,0.0012659119249025768,0.024187890686434774,(undefined),0.0,0.00014062793617200794,0.0018943553876065915,0.0011813126853014238,0.003176952791608526,0.0012659119249025768,0.024187890686434774,(undefined),0.0,7.916163775651867e-05,0.000580410711094367,(undefined),0.0,7.916163775651867e-05,0.000580410711094367,(undefined),0.0,0.00018139963078785807,0.0013300161425767204,0.001632596677090723,0.0022305204707224577,0.0022305204707224577,0.0008477544780437221,0.08140895867643606,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.015072230818811459,0.155064103074192,0.13565007736930312,0.039483915134632216,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.039483915134632216,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.039483915134632216,0.2842841889693519,0.5922587270194831,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.019770734336747406,0.003954146867349482,0.14234928722458132,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.07950817283185779,0.06640654948763179,0.027345518650900708,0.6111775107580499,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.07950817283185779,0.06640654948763179,0.027345518650900708,0.3407623111081685,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.07950817283185779,0.06640654948763179,0.027345518650900708,0.3407623111081685,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.039754086415928896,0.019296404763134274,0.008825828144499772,0.00050088,0.039754086415928896,0.019296404763134274,0.008825828144499772,2.755e-07,0.039754086415928896,0.04429838214374141,0.018646375333039623,0.40647370065697774,0.11941430364401451,0.10852166308601892,0.1418307928021704,2.198271444583638,0.013119344918959374
-> Receive [PetaFLOP/s],1.924925212444444e-05,,,,,,,,1.924925212444444e-05,,,,,,,,1.924925212444444e-05,,,,,,,,9.62462606222222e-06,,,,9.62462606222222e-06,,,,9.62462606222222e-06,,,,,,,,
-> Flag [PetaFLOP/s],0.0013370322670933335,0.0005313711936606047,0.00019126120809796984,0.0047823407429454425,0.0010824711851038496,0.002164942370207699,0.004207746578155337,0.004207746578155337,0.0013370322670933335,0.0005313711936606047,0.00019126120809796984,0.0031882690772632926,0.0010824711851038496,0.002164942370207699,0.004207746578155337,0.004207746578155337,0.0013370322670933335,0.0005313711936606047,0.00019126120809796984,0.0031882690772632926,0.0010824711851038496,0.002164942370207699,0.004207746578155337,0.004207746578155337,0.0006685161335466667,0.00016280663494916008,5.860045338394913e-05,,0.0006685161335466667,0.00016280663494916008,5.860045338394913e-05,,0.0006685161335466667,0.0003730727086099975,0.00013428341156319852,0.0033576543774899775,0.0007599968821498188,0.0007599968821498188,0.0015199937642996375,0.00726570893312,0.0029542350543903676
-> Demix [PetaFLOP/s],0.07811341556394669,,,,,,,,0.07811341556394669,,,,,,,,0.07811341556394669,,,,,,,,0.03905670778197334,,,,0.03905670778197334,,,,0.03905670778197334,,,,,,,,
-> Average [PetaFLOP/s],3.8475748693333337e-05,,,,,,,,3.8475748693333337e-05,,,,,,,,3.8475748693333337e-05,,,,,,,,1.9237874346666668e-05,,,,1.9237874346666668e-05,,,,1.9237874346666668e-05,,,,,,,,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.006732151129190145,0.00020744800224893278,0.06058936016430549,0.0032598461904501355,0.01365981537206,0.026980506874008745,,,0.006732151129190145,0.00020744800224893278,0.028043125421694143,0.0032598461904501355,0.01365981537206,0.026980506874008745,,,0.006732151129190145,0.00020744800224893278,0.028043125421694143,0.0032598461904501355,0.01365981537206,0.026980506874008745,,,0.0017732759439834792,4.3480549155709544e-05,,,0.0017732759439834792,4.3480549155709544e-05,,,0.004092340178678974,0.00013697040827690259,0.03683105819921372,0.0019410936328214492,0.0020526872736475205,0.008413492435066337,0.17133787035968337,
-> FFT [PetaFLOP/s],,0.0013138499103942489,0.0013011890953840137,0.011824649192895971,0.008687075720514432,0.013477022618971077,0.0905943965912254,,,0.0013138499103942489,0.0013011890953840137,0.004952923806645141,0.008687075720514432,0.013477022618971077,0.0905943965912254,,,0.0013138499103942489,0.0013011890953840137,0.004952923806645141,0.008687075720514432,0.013477022618971077,0.0905943965912254,,,0.0004354193593269227,0.0006577268480722576,,,0.0004354193593269227,0.0006577268480722576,,,0.0010632556320826323,0.0006515938764574248,0.009569302110772301,0.00468609089853861,0.0008846053186316999,0.007275346325035525,0.7855129567079484,
-> IFFT [PetaFLOP/s],,0.006569249551971246,0.0013011890953840137,0.059123245964479855,0.008687075720514432,0.005390809047588431,0.012079252878830054,,,0.006569249551971246,0.0013011890953840137,0.02476461903322571,0.008687075720514432,0.005390809047588431,0.012079252878830054,,,0.006569249551971246,0.0013011890953840137,0.02476461903322571,0.008687075720514432,0.005390809047588431,0.012079252878830054,,,0.0021770967966346136,0.0006577268480722576,,,0.0021770967966346136,0.0006577268480722576,,,0.005316278160413162,0.0006515938764574248,0.04784651055386151,0.00468609089853861,0.004423026593158499,0.00291013853001421,0.002397195302453456,
-> Solve [PetaFLOP/s],,7.643390822718347e-05,,0.009756570878359485,,,,,,7.643390822718347e-05,,0.006506213678720851,,,,,,7.643390822718347e-05,,0.006506213678720851,,,,,,2.3467282159306103e-05,,,,2.3467282159306103e-05,,,,5.361295580243691e-05,,0.006849980288311925,,,,,
-> Degrid [PetaFLOP/s],,0.001994215052687155,0.00016740037757932358,0.017947935474547056,0.006876415161226201,0.0036338559537191714,0.01430447527182818,,,0.001994215052687155,0.00016740037757932358,0.00827672670715833,0.006876415161226201,0.0036338559537191714,0.01430447527182818,,,0.001994215052687155,0.00016740037757932358,0.00827672670715833,0.006876415161226201,0.0036338559537191714,0.01430447527182818,,,0.0006128622786575339,3.603534304721275e-05,,,0.0006128622786575339,3.603534304721275e-05,,,0.0014050426603683206,0.00011179287873373274,0.012645383086126073,0.004299996384054784,0.0008944234289403078,0.002287955155305465,0.11194835267648046,
-> Reprojection [PetaFLOP/s],,9.420144261757161e-05,,0.0008478129835581445,0.00024677446959145134,0.0017767761810584494,0.00370161704387177,,,9.420144261757161e-05,,0.00037680577047028644,0.00024677446959145134,0.0017767761810584494,0.00370161704387177,,,9.420144261757161e-05,,0.00037680577047028644,0.00024677446959145134,0.0017767761810584494,0.00370161704387177,,,4.7590626097866115e-05,,,,4.7590626097866115e-05,,,,4.716937744850901e-05,,0.000424524397036581,0.0001235670896046713,3.089177240116782e-06,0.0008896830451536333,0.08098092784331737,
-> Identify Component [PetaFLOP/s],,,,0.004114191482049079,1.0463395335770655e-05,0.009261587886350975,0.0031390186007311965,,,,,0.002098961137021813,1.0463395335770655e-05,0.009261587886350975,0.0031390186007311965,,,,,0.002098961137021813,1.0463395335770655e-05,0.009261587886350975,0.0031390186007311965,,,,,,,,,,,,,0.0012249679030483529,6.103822138041579e-06,6.103822138041579e-06,0.003859012938127134,0.05714572680552755,
-> Reprojection Predict [PetaFLOP/s],,0.000471007213087858,,0.004239064917790722,0.00024677446959145134,0.0007107104724233797,0.0004935489391829027,,,0.000471007213087858,,0.001884028852351432,0.00024677446959145134,0.0007107104724233797,0.0004935489391829027,,,0.000471007213087858,,0.001884028852351432,0.00024677446959145134,0.0007107104724233797,0.0004935489391829027,,,0.0002379531304893306,,,,0.0002379531304893306,,,,0.000235846887242545,,0.002122621985182905,0.0001235670896046713,3.089177240116782e-06,0.0003558732180614533,0.0002471341792093426,
-> Gridding Kernel Update [PetaFLOP/s],,0.006732151129190145,0.00020744800224893278,0.06058936016430549,0.0032598461904501355,0.01365981537206,0.026980506874008745,,,0.006732151129190145,0.00020744800224893278,0.028043125421694143,0.0032598461904501355,0.01365981537206,0.026980506874008745,,,0.006732151129190145,0.00020744800224893278,0.028043125421694143,0.0032598461904501355,0.01365981537206,0.026980506874008745,,,0.0017732759439834792,4.3480549155709544e-05,,,0.0017732759439834792,4.3480549155709544e-05,,,0.004092340178678974,0.00013697040827690259,0.03683105819921372,0.0019410936328214492,0.0020526872736475205,0.008413492435066337,0.17133787035968337,
-> Phase Rotation Predict [PetaFLOP/s],,0.0026130511745603925,0.0,0.023517460571043532,0.0,0.001955431818252115,0.0,,,0.0026130511745603925,0.0,0.007999241412488547,0.0,0.001955431818252115,0.0,,,0.0026130511745603925,0.0,0.007999241412488547,0.0,0.001955431818252115,0.0,,,0.0004084754281878568,0.0,,,0.0004084754281878568,0.0,,,0.000936024716942646,0.0,0.008424222452483813,0.0,0.0,0.0013728975935609626,0.0,
-> Correct [PetaFLOP/s],,0.001828373999692403,0.00016452577040685577,0.016455365997231627,0.0037246320347659335,0.007449264069531867,0.014478267795803306,0.014478267795803306,,0.001828373999692403,0.00016452577040685577,0.010970388222841436,0.0037246320347659335,0.007449264069531867,0.014478267795803306,0.014478267795803306,,0.001828373999692403,0.00016452577040685577,0.010970388222841436,0.0037246320347659335,0.007449264069531867,0.014478267795803306,0.014478267795803306,,0.0005601948729433465,5.040899215823582e-05,,,0.0005601948729433465,5.040899215823582e-05,,,0.0012836910403784861,0.00011551261209737507,0.011553219363406374,0.002615043035354215,0.002615043035354215,0.00523008607070843,0.025000288802133334,0.010165109864569005
-> Grid [PetaFLOP/s],,0.001994215052687155,0.00016740037757932358,0.017947935474547056,0.006876415161226201,0.0036338559537191714,0.01430447527182818,,,0.001994215052687155,0.00016740037757932358,0.00827672670715833,0.006876415161226201,0.0036338559537191714,0.01430447527182818,,,0.001994215052687155,0.00016740037757932358,0.00827672670715833,0.006876415161226201,0.0036338559537191714,0.01430447527182818,,,0.0006128622786575339,3.603534304721275e-05,,,0.0006128622786575339,3.603534304721275e-05,,,0.0014050426603683206,0.00011179287873373274,0.012645383086126073,0.004299996384054784,0.0008944234289403078,0.002287955155305465,0.11194835267648046,
-> Phase Rotation [PetaFLOP/s],,0.0026130511745603925,0.0,0.023517460571043532,0.0,0.001955431818252115,0.0,,,0.0026130511745603925,0.0,0.007999241412488547,0.0,0.001955431818252115,0.0,,,0.0026130511745603925,0.0,0.007999241412488547,0.0,0.001955431818252115,0.0,,,0.0004084754281878568,0.0,,,0.0004084754281878568,0.0,,,0.000936024716942646,0.0,0.008424222452483813,0.0,0.0,0.0013728975935609626,0.0,
-> Subtract Visibility [PetaFLOP/s],,3.809112499359173e-06,1.371048086723798e-06,3.428201249423256e-05,7.759650072429028e-06,1.5519300144858056e-05,3.016305790792356e-05,,,3.809112499359173e-06,1.371048086723798e-06,2.285497546425299e-05,7.759650072429028e-06,1.5519300144858056e-05,3.016305790792356e-05,,,3.809112499359173e-06,1.371048086723798e-06,2.285497546425299e-05,7.759650072429028e-06,1.5519300144858056e-05,3.016305790792356e-05,,,1.167072651965305e-06,4.2007493465196516e-07,,,1.167072651965305e-06,4.2007493465196516e-07,,,2.6743563341218457e-06,9.62605100811459e-07,2.406920700709661e-05,5.448006323654614e-06,5.448006323654614e-06,1.0896012647309227e-05,5.208393500444445e-05,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> DFT [PetaFLOP/s],,0.03283023075077601,0.023633759866701142,0.29547207675698406,0.13375877056189805,0.13375877056189805,0.2599713585337125,,,0.03283023075077601,0.023633759866701142,0.19698397419897218,0.13375877056189805,0.13375877056189805,0.2599713585337125,,,0.03283023075077601,0.023633759866701142,0.19698397419897218,0.13375877056189805,0.13375877056189805,0.2599713585337125,,,0.010058842964965472,0.007241139262524448,,,0.010058842964965472,0.007241139262524448,,,0.023049919259090047,0.01659312902248535,0.20744927333181043,0.09391127448578025,0.09391127448578025,0.09391127448578025,0.44890446393799105,
-> Visibility Weighting [PetaFLOP/s],,9.187691829904519e-06,2.525807183475455e-06,8.268922646914068e-05,4.235937055478035e-06,1.5190943098830923e-05,3.225052091524636e-05,,,9.187691829904519e-06,2.525807183475455e-06,3.937708951004746e-05,4.235937055478035e-06,1.5190943098830923e-05,3.225052091524636e-05,,,9.187691829904519e-06,2.525807183475455e-06,3.937708951004746e-05,4.235937055478035e-06,1.5190943098830923e-05,3.225052091524636e-05,,,2.6387212585506223e-06,7.738809481258227e-07,,,2.6387212585506223e-06,7.738809481258227e-07,,,6.04665435959527e-06,1.773354856768961e-06,5.441988923635743e-05,2.9740272942966097e-06,2.9740272942966097e-06,1.0173053736524664e-05,0.00010854527823524811,
-> Receive [Tera/s],0.05771362304,,,,,,,,0.05771362304,,,,,,,,0.05771362304,,,,,,,,0.02885681152,,,,0.02885681152,,,,0.02885681152,,,,,,,,
-> Flag [Tera/s],0.05771362304,0.022854674996155042,0.008226288520342788,0.20569207496539535,0.046557900434574175,0.09311580086914835,0.18097834744754135,0.18097834744754135,0.05771362304,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,0.18097834744754135,0.05771362304,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,0.18097834744754135,0.02885681152,0.007002435911791829,0.002520449607911791,,0.02885681152,0.007002435911791829,0.002520449607911791,,0.02885681152,0.016046138004731075,0.0057756306048687535,0.14441524204257966,0.03268803794192769,0.03268803794192769,0.06537607588385538,0.3125036100266666,0.12706387330711258
-> Demix [Tera/s],0.05771362304,,,,,,,,0.05771362304,,,,,,,,0.05771362304,,,,,,,,0.02885681152,,,,0.02885681152,,,,0.02885681152,,,,,,,,
-> Average [Tera/s],0.05681883818666668,,,,,,,,0.05681883818666668,,,,,,,,0.05681883818666668,,,,,,,,0.02840941909333334,,,,0.02840941909333334,,,,0.02840941909333334,,,,,,,,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Degridding Kernel Update [Tera/s],,30.79694084274382,1.0666304748731033,277.1724676130023,28.543061145295365,94.17443886151968,294.8589719291281,,,30.79694084274382,1.0666304748731033,111.43100803242245,28.543061145295365,94.17443886151968,294.8589719291281,,,30.79694084274382,1.0666304748731033,111.43100803242245,28.543061145295365,94.17443886151968,294.8589719291281,,,5.678531244918446,0.027211727253114253,,,5.678531244918446,0.027211727253114253,,,21.92691889637297,0.5884756640885284,197.34219713782306,13.069975421578365,15.188773921568272,45.754222899121984,1185.1208937909848,
-> FFT [Tera/s],,0.015072230818811459,0.155064103074192,0.13565007736930312,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.007614500175658578,0.07833847917344214,,,0.007614500175658578,0.07833847917344214,,,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.019770734336747406,0.003954146867349481,0.14234928722458132,12.95694845493078,
-> IFFT [Tera/s],,0.07537890543501093,0.1550922798058644,0.6784101489150984,0.03948821991308217,0.11374466999258043,0.07897643982616434,,,0.07537890543501093,0.1550922798058644,0.3015206935517447,0.03948821991308217,0.11374466999258043,0.07897643982616434,,,0.07537890543501093,0.1550922798058644,0.3015206935517447,0.03948821991308217,0.11374466999258043,0.07897643982616434,,,0.03807887352826001,0.07835264061781354,,,0.03807887352826001,0.07835264061781354,,,0.03774184634231464,0.07765916438887902,0.33967661708083174,0.019772888294111043,0.019772888294111043,0.05695522338285071,0.03954577658822209,
-> Solve [Tera/s],,6.5536e-08,,1.3653333333333335e-06,,,,,,6.5536e-08,,1.3653333333333335e-06,,,,,,6.5536e-08,,1.3653333333333335e-06,,,,,,3.2768e-08,,,,3.2768e-08,,,,3.2768e-08,,9.448106666666668e-07,,,,,
-> Degrid [Tera/s],,0.0068907688724283885,0.0018943553876065915,0.0620169198518555,0.015884763958042628,0.011393207324123193,0.02418789068643477,,,0.0068907688724283885,0.0018943553876065915,0.029532817132535586,0.015884763958042628,0.011393207324123193,0.02418789068643477,,,0.0068907688724283885,0.0018943553876065915,0.029532817132535586,0.015884763958042628,0.011393207324123193,0.02418789068643477,,,0.001979040943912967,0.000580410711094367,,,0.001979040943912967,0.000580410711094367,,,0.0045349907696964524,0.0013300161425767207,0.040814916927268075,0.011152602353612288,0.0022305204707224573,0.007629790302393498,0.08140895867643608,
-> Reprojection [Tera/s],,0.015072230818811459,,0.13565007736930312,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,,0.06028892327524582,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,,0.06028892327524582,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.007614500175658578,,,,0.007614500175658578,,,,0.00754710039176144,,0.06792390352585298,0.019770734336747406,0.0004942683584186851,0.14234928722458132,12.95694845493078,
-> Identify Component [Tera/s],,,,3.92e-08,9.777777777777777e-11,8.8e-08,2.933333333333333e-08,,,,,2e-08,9.777777777777777e-11,8.8e-08,2.933333333333333e-08,,,,,2e-08,9.777777777777777e-11,8.8e-08,2.933333333333333e-08,,,,,,,,,,,,,1.1666666666666669e-08,5.703703703703703e-11,5.703703703703703e-11,3.6666666666666664e-08,5.33997037037037e-07,
-> Reprojection Predict [Tera/s],,0.0753611540940573,,0.6782503868465156,0.03948391513463221,0.11371367558774076,0.07896783026926442,,,0.0753611540940573,,0.3014446163762291,0.03948391513463221,0.11371367558774076,0.07896783026926442,,,0.0753611540940573,,0.3014446163762291,0.03948391513463221,0.11371367558774076,0.07896783026926442,,,0.038072500878292885,,,,0.038072500878292885,,,,0.037735501958807205,,0.33961951762926484,0.019770734336747406,0.0004942683584186851,0.05693971488983253,0.03954146867349481,
-> Gridding Kernel Update [Tera/s],,30.79694084274382,1.0666304748731033,277.1724676130023,28.543061145295365,94.17443886151968,294.8589719291281,,,30.79694084274382,1.0666304748731033,111.43100803242245,28.543061145295365,94.17443886151968,294.8589719291281,,,30.79694084274382,1.0666304748731033,111.43100803242245,28.543061145295365,94.17443886151968,294.8589719291281,,,5.678531244918446,0.027211727253114253,,,5.678531244918446,0.027211727253114253,,,21.92691889637297,0.5884756640885284,197.34219713782306,13.069975421578365,15.188773921568272,45.754222899121984,1185.1208937909848,
-> Phase Rotation Predict [Tera/s],,1.1198790748115972,0.0,10.078911673304374,0.0,0.8380422078223351,0.0,,,1.1198790748115972,0.0,3.4282463196379482,0.0,0.8380422078223351,0.0,,,1.1198790748115972,0.0,3.4282463196379482,0.0,0.8380422078223351,0.0,,,0.17506089779479578,0.0,,,0.17506089779479578,0.0,,,0.40115345011827686,0.0,3.610381051064491,0.0,0.0,0.5883846829546984,0.0,
-> Correct [Tera/s],,0.022854674996155042,0.008226288520342788,0.20569207496539535,0.046557900434574175,0.09311580086914835,0.18097834744754135,0.18097834744754135,,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,0.18097834744754135,,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,0.18097834744754135,,0.007002435911791829,0.002520449607911791,,,0.007002435911791829,0.002520449607911791,,,0.016046138004731075,0.0057756306048687535,0.14441524204257966,0.03268803794192769,0.03268803794192769,0.06537607588385538,0.3125036100266666,0.12706387330711258
