,hpso01 (Ingest) [Nf_max=65536] [Na=512],hpso01 (RCAL) [Nf_max=65536] [Na=512],hpso01 (FastImg) [Nf_max=65536] [Na=512],hpso01 (ICAL) [Nf_max=65536] [Na=512],hpso01 (DPrepA) [Nf_max=65536] [Na=512],hpso01 (DPrepB) [Nf_max=65536] [Na=512],hpso01 (DPrepC) [Nf_max=65536] [Na=512],hpso01 (DPrepD) [Nf_max=65536] [Na=512],hpso02a (Ingest) [Nf_max=65536] [Na=512],hpso02a (RCAL) [Nf_max=65536] [Na=512],hpso02a (FastImg) [Nf_max=65536] [Na=512],hpso02a (ICAL) [Nf_max=65536] [Na=512],hpso02a (DPrepA) [Nf_max=65536] [Na=512],hpso02a (DPrepB) [Nf_max=65536] [Na=512],hpso02a (DPrepC) [Nf_max=65536] [Na=512],hpso02a (DPrepD) [Nf_max=65536] [Na=512],hpso02b (Ingest) [Nf_max=65536] [Na=512],hpso02b (RCAL) [Nf_max=65536] [Na=512],hpso02b (FastImg) [Nf_max=65536] [Na=512],hpso02b (ICAL) [Nf_max=65536] [Na=512],hpso02b (DPrepA) [Nf_max=65536] [Na=512],hpso02b (DPrepB) [Nf_max=65536] [Na=512],hpso02b (DPrepC) [Nf_max=65536] [Na=512],hpso02b (DPrepD) [Nf_max=65536] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Na=512],hpso05a (RCAL) [Na=512],hpso05a (FastImg) [Na=512],hpso05a (PST) [Na=512],max_low (Ingest) [Na=512],max_low (RCAL) [Na=512],max_low (FastImg) [Na=512],max_low (ICAL) [Na=512],max_low (DPrepA) [Na=512],max_low (DPrepA_Image) [Na=512],max_low (DPrepB) [Na=512],max_low (DPrepC) [Na=512],max_low (DPrepD) [Na=512]
Calibration process out [MB],0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.43690666666666667,0.0,(undefined),0.0,0.43690666666666667,0.0,(undefined),0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.006378222677231412,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.0028347656343250716,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.0028347656343250716,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.008942527807946498,0.0012266841986209188,0.0012266841986209188,0.08762029990149418,11.484567948688646,(undefined)
Working (cache) memory [TeraBytes],(undefined),7.183262341663025e-05,6.411143561492966e-05,7.183262341681829e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3509603373269619e-05,(undefined),(undefined),7.183262341663025e-05,6.411143561492966e-05,2.5898178292797838e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3509603373269619e-05,(undefined),(undefined),7.183262341663025e-05,6.411143561492966e-05,2.5898178292797838e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3509603373269619e-05,(undefined),(undefined),1.4707060156640669e-05,4.750752453627992e-06,(undefined),(undefined),1.4707060156640669e-05,4.750752453627992e-06,(undefined),(undefined),3.52404543661815e-05,3.168395721108358e-05,3.5240454366210334e-05,2.5190893016440663e-06,3.0554099059017e-06,7.760922121028132e-06,4.900657665376005e-05,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],16.52488667136,16.52488667136,8.26244333568,16.52488667136,8.26244333568,16.52488667136,16.52488667136,16.52488667136,16.52488667136,16.52488667136,8.26244333568,16.52488667136,8.26244333568,16.52488667136,16.52488667136,16.52488667136,16.52488667136,16.52488667136,8.26244333568,16.52488667136,8.26244333568,16.52488667136,16.52488667136,16.52488667136,1.101659111424,1.101659111424,0.550829555712,0.002102152,1.101659111424,1.101659111424,0.550829555712,0.00077309411328,9.914932002816,9.914932002816,4.957466001408,9.914932002816,4.957466001408,4.957466001408,9.914932002816,9.914932002816,9.914932002816
Total buffer ingest rate [TeraBytes/s],0.91804925952,0.91804925952,0.45902462976,0.91804925952,0.45902462976,0.91804925952,0.91804925952,0.91804925952,0.91804925952,0.91804925952,0.45902462976,0.91804925952,0.45902462976,0.91804925952,0.91804925952,0.91804925952,0.91804925952,0.91804925952,0.45902462976,0.91804925952,0.45902462976,0.91804925952,0.91804925952,0.91804925952,0.45902462976,0.45902462976,0.22951231488,(undefined),0.45902462976,0.45902462976,0.22951231488,(undefined),0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.22951231488,0.22951231488,0.45902462976,0.45902462976,0.45902462976
Output size [TB],0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,205.755777024,0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,205.755777024,0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,205.755777024,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.06658064388822461,0.06658064388822461,2.3778801388651645,311.6735055613349,246.9069324288
Buffer Read Rate [TeraBytes/s],0.9144701201066667,0.735668593577022,0.2647958068595379,3.6783429678851105,0.8174460857975916,1.6348921715951832,3.177549682314455,3.177549682314455,0.9144701201066667,0.735668593577022,0.2647958068595379,2.4522608844584313,0.8174460857975916,1.6348921715951832,3.177549682314455,3.177549682314455,0.9144701201066667,0.735668593577022,0.2647958068595379,2.4522608844584313,0.8174460857975916,1.6348921715951832,3.177549682314455,3.177549682314455,0.45723506005333336,0.22540124415279528,0.08113069289089292,0.0008758966666666667,0.45723506005333336,0.22540124415279528,0.08113069289089292,0.0003221225472,0.45723506005333336,0.5165087571916585,0.18591163710790132,2.5825437859582925,0.5739242624478184,0.5739242624478184,1.1478485248956367,5.48682072064,2.2309396452948156
Facet visibility rate [TeraBytes/s],0.0,0.06738461016369374,0.030488680411558052,0.6064614914732437,0.05113142918147895,0.1022628583629579,0.3892917209690761,(undefined),0.0,0.06738461016369374,0.030488680411558052,0.29295342083644554,0.05113142918147895,0.1022628583629579,0.3892917209690761,(undefined),0.0,0.06738461016369374,0.030488680411558052,0.29295342083644554,0.05113142918147895,0.1022628583629579,0.3892917209690761,(undefined),0.0,0.020645945798725196,0.00934141333446367,(undefined),0.0,0.020645945798725196,0.00934141333446367,(undefined),0.0,0.047310353073921764,0.021405929097848952,0.42579317766529584,0.035899085371312624,0.035899085371312624,0.07179817074262525,1.3102355238947663,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.010466826957507957,0.155064103074192,0.09420144261757163,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.010466826957507957,0.155064103074192,0.04186730783003182,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.010466826957507957,0.155064103074192,0.04186730783003182,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.005287847344207346,0.07833847917344214,(undefined),0.0,0.005287847344207346,0.07833847917344214,(undefined),0.0,0.0052410419387232225,0.0776450657588625,0.04716937744850901,0.019770734336747406,0.003954146867349482,0.09885367168373703,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],1.264734520734151,0.7480448678218885,0.380692614816198,6.878779923892501,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.264734520734151,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.264734520734151,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,0.6323672603670755,0.21673228746570905,0.11622783250666727,0.00050088,0.6323672603670755,0.21673228746570905,0.11622783250666727,2.755e-07,0.6323672603670755,0.4981911815514156,0.26625223268530523,4.586446971012284,1.6392573785492965,1.5562374979511375,1.7274552520875062,12.5785297895046,0.21114914184529887
-> DFT [PetaFLOP/s],,0.501349268591246,0.3609102937222483,4.512143417321214,2.0426253564266146,2.0426253564266146,3.9700132309447316,,,0.501349268591246,0.3609102937222483,3.0081351586758864,2.0426253564266146,2.0426253564266146,3.9700132309447316,,,0.501349268591246,0.3609102937222483,3.0081351586758864,2.0426253564266146,2.0426253564266146,3.9700132309447316,,,0.15360822778379152,0.11057917626570976,,,0.15360822778379152,0.11057917626570976,,,0.3519944848806436,0.25339307427397745,3.1679503639257924,1.434115682382305,1.434115682382305,1.434115682382305,6.855203862901193,
-> Subtract Visibility [PetaFLOP/s],,6.130571613141851e-05,2.206631723829483e-05,0.0005517514451827665,0.0001248875964412987,0.0002497751928825974,0.0004854589792424863,,,6.130571613141851e-05,2.206631723829483e-05,0.0003678391326687647,0.0001248875964412987,0.0002497751928825974,0.0004854589792424863,,,6.130571613141851e-05,2.206631723829483e-05,0.0003678391326687647,0.0001248875964412987,0.0002497751928825974,0.0004854589792424863,,,1.878343701273294e-05,6.760891074241076e-06,,,1.878343701273294e-05,6.760891074241076e-06,,,4.3042396432638214e-05,1.549263642565844e-05,0.0003873815678937439,8.768287342952779e-05,8.768287342952779e-05,0.00017536574685905558,0.0008382642767644445,
-> Flag [PetaFLOP/s],0.02126814117888,0.008552147400332883,0.003078251254742129,0.07696932660299594,0.01742181970356117,0.03484363940712234,0.06772152760432684,0.06772152760432684,0.02126814117888,0.008552147400332883,0.003078251254742129,0.051313559007292675,0.01742181970356117,0.03484363940712234,0.06772152760432684,0.06772152760432684,0.02126814117888,0.008552147400332883,0.003078251254742129,0.051313559007292675,0.01742181970356117,0.03484363940712234,0.06772152760432684,0.06772152760432684,0.01063407058944,0.002620289463276245,0.0009431443048566302,,0.01063407058944,0.002620289463276245,0.0009431443048566302,,0.01063407058944,0.00600441430235303,0.0021612227813793527,0.05403972872117727,0.012231760843419131,0.012231760843419131,0.024463521686838262,0.11693786660864,0.047546901190345756
-> Degrid [PetaFLOP/s],,0.031017128022765433,0.002327364044696331,0.27915415220514744,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.031017128022765433,0.002327364044696331,0.09953173499444501,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.031017128022765433,0.002327364044696331,0.09953173499444501,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.008369253050829849,0.0005799704002475925,,,0.008369253050829849,0.0005799704002475925,,,0.019338317270972467,0.0015428668482284043,0.174044855438797,0.044730274576476846,0.009109724059562747,0.020555393665019173,0.5976618062350211,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Visibility Weighting [PetaFLOP/s],,8.984614688492499e-05,4.0651573882077406e-05,0.0008086153219643249,6.817523890863862e-05,0.00013635047781727723,0.0005190556279587681,,,8.984614688492499e-05,4.0651573882077406e-05,0.0003906045611152608,6.817523890863862e-05,0.00013635047781727723,0.0005190556279587681,,,8.984614688492499e-05,4.0651573882077406e-05,0.0003906045611152608,6.817523890863862e-05,0.00013635047781727723,0.0005190556279587681,,,2.7527927731633594e-05,1.2455217779284894e-05,,,2.7527927731633594e-05,1.2455217779284894e-05,,,6.308047076522902e-05,2.8541238797131933e-05,0.0005677242368870612,4.786544716175017e-05,4.786544716175017e-05,9.573089432350034e-05,0.0017469806985263554,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Demix [PetaFLOP/s],1.24254828478464,,,,,,,,1.24254828478464,,,,,,,,1.24254828478464,,,,,,,,0.62127414239232,,,,0.62127414239232,,,,0.62127414239232,,,,,,,,
-> FFT [PetaFLOP/s],,0.017084251513535414,0.0018307069149650983,0.15375826362164088,0.02552766676021069,0.0779801412630046,0.2521612050214814,,,0.017084251513535414,0.0018307069149650983,0.04589533181312996,0.02552766676021069,0.0779801412630046,0.2521612050214814,,,0.017084251513535414,0.0018307069149650983,0.04589533181312996,0.02552766676021069,0.0779801412630046,0.2521612050214814,,,0.003914891775543595,0.0006577268667749706,,,0.003914891775543595,0.0006577268667749706,,,0.009159238427541216,0.00097833668802167,0.08243314584784112,0.013837757334391593,0.0025407016380308025,0.042032605571282425,2.4381690391118394,
-> Grid [PetaFLOP/s],,0.031017128022765433,0.002327364044696331,0.27915415220514744,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.031017128022765433,0.002327364044696331,0.09953173499444501,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.031017128022765433,0.002327364044696331,0.09953173499444501,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.008369253050829849,0.0005799704002475925,,,0.008369253050829849,0.0005799704002475925,,,0.019338317270972467,0.0015428668482284043,0.174044855438797,0.044730274576476846,0.009109724059562747,0.020555393665019173,0.5976618062350211,
-> Gridding Kernel Update [PetaFLOP/s],,0.02120157211604704,0.0028386259800844255,0.1908141490447009,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.02120157211604704,0.0028386259800844255,0.098214444863285,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.02120157211604704,0.0028386259800844255,0.098214444863285,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.005318788025640711,0.0006997971821466485,,,0.005318788025640711,0.0006997971821466485,,,0.012367171919543804,0.0018761891555732504,0.11130454727593853,0.016642669279394146,0.01708899793959374,0.040731187920725956,0.5990224267814661,
-> Correct [PetaFLOP/s],,0.029426743743080883,0.0026479580685953795,0.26484069368772795,0.059946046291823374,0.11989209258364675,0.23302031003639337,0.23302031003639337,,0.029426743743080883,0.0026479580685953795,0.17656278368100703,0.059946046291823374,0.11989209258364675,0.23302031003639337,0.23302031003639337,,0.029426743743080883,0.0026479580685953795,0.17656278368100703,0.059946046291823374,0.11989209258364675,0.23302031003639337,0.23302031003639337,,0.009016049766111813,0.0008113069289089292,,,0.009016049766111813,0.0008113069289089292,,,0.020660350287666343,0.0018591163710790129,0.1859431525889971,0.04208777924617335,0.04208777924617335,0.0841755584923467,0.40236685284693335,0.16360224065495313
-> IFFT [PetaFLOP/s],,0.08542125756767707,0.0018307069149650983,0.7687913181082043,0.02552766676021069,0.031192056505201845,0.03362149400286418,,,0.08542125756767707,0.0018307069149650983,0.22947665906564976,0.02552766676021069,0.031192056505201845,0.03362149400286418,,,0.08542125756767707,0.0018307069149650983,0.22947665906564976,0.02552766676021069,0.031192056505201845,0.03362149400286418,,,0.019574458877717974,0.0006577268667749706,,,0.019574458877717974,0.0006577268667749706,,,0.04579619213770608,0.00097833668802167,0.4121657292392056,0.013837757334391593,0.012703508190154015,0.016813042228512973,0.007440701413305173,
-> Identify Component [PetaFLOP/s],,,,8.515362628408296e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,8.447219223737021e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,8.447219223737021e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,,,,,,,,,4.967399161922648e-05,6.103822138041579e-06,6.103822138041579e-06,0.00043598729557439844,0.05714572680552755,
-> Average [PetaFLOP/s],0.0006120328396799999,,,,,,,,0.0006120328396799999,,,,,,,,0.0006120328396799999,,,,,,,,0.00030601641983999994,,,,0.00030601641983999994,,,,0.00030601641983999994,,,,,,,,
-> Phase Rotation Predict [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Receive [PetaFLOP/s],0.00030606193095111106,,,,,,,,0.00030606193095111106,,,,,,,,0.00030606193095111106,,,,,,,,0.00015303096547555553,,,,0.00015303096547555553,,,,0.00015303096547555553,,,,,,,,
-> Solve [PetaFLOP/s],,0.0012301408544683702,,0.15702651937643136,,,,,,0.0012301408544683702,,0.10471368381689307,,,,,,0.0012301408544683702,,0.10471368381689307,,,,,,0.00037768200617465883,,,,0.00037768200617465883,,,,0.0008628611945727642,,0.11024658403491382,,,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.02120157211604704,0.0028386259800844255,0.1908141490447009,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.02120157211604704,0.0028386259800844255,0.098214444863285,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.02120157211604704,0.0028386259800844255,0.098214444863285,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.005318788025640711,0.0006997971821466485,,,0.005318788025640711,0.0006997971821466485,,,0.012367171919543804,0.0018761891555732504,0.11130454727593853,0.016642669279394146,0.01708899793959374,0.040731187920725956,0.5990224267814661,
-> Phase Rotation [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Reprojection [PetaFLOP/s],,6.541766848442473e-05,,0.0005887590163598227,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,6.541766848442473e-05,,0.0002616706739376989,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,6.541766848442473e-05,,0.0002616706739376989,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,3.3049045901295915e-05,,,,3.3049045901295915e-05,,,,3.2756512117020146e-05,,0.0002948086090531813,0.0001235670896046713,3.089177240116782e-06,0.0006178354480233564,0.08098092784331737,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> Reprojection Predict [PetaFLOP/s],,0.00032708834242212365,,0.002943795081799113,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00032708834242212365,,0.0013083533696884946,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00032708834242212365,,0.0013083533696884946,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00016524522950647958,,,,0.00016524522950647958,,,,0.0001637825605851007,,0.0014740430452659064,0.0001235670896046713,3.089177240116782e-06,0.0002471341792093426,0.0002471341792093426,
-> DFT [Tera/s],,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.11270062207639762,0.04056534644544646,,,0.11270062207639762,0.04056534644544646,,,0.2582543785958293,0.09295581855395063,2.3242894073624636,0.5260972405771668,0.5260972405771668,1.0521944811543336,5.029585660586666,
-> Subtract Visibility [Tera/s],,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.11270062207639762,0.04056534644544646,,,0.11270062207639762,0.04056534644544646,,,0.2582543785958293,0.09295581855395063,2.3242894073624636,0.5260972405771668,0.5260972405771668,1.0521944811543336,5.029585660586666,
-> Flag [Tera/s],0.91804925952,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,0.91804925952,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,0.91804925952,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,0.45902462976,0.11270062207639762,0.04056534644544646,,0.45902462976,0.11270062207639762,0.04056534644544646,,0.45902462976,0.2582543785958293,0.09295581855395063,2.3242894073624636,0.5260972405771669,0.5260972405771669,1.0521944811543338,5.029585660586666,2.045028008186914
-> Degrid [Tera/s],,0.06738461016369374,0.030488680411558056,0.6064614914732437,0.2556571459073948,0.10226285836295793,0.38929172096907616,,,0.06738461016369374,0.030488680411558056,0.2929534208364456,0.2556571459073948,0.10226285836295793,0.38929172096907616,,,0.06738461016369374,0.030488680411558056,0.2929534208364456,0.2556571459073948,0.10226285836295793,0.38929172096907616,,,0.020645945798725196,0.00934141333446367,,,0.020645945798725196,0.00934141333446367,,,0.047310353073921764,0.021405929097848952,0.42579317766529584,0.1794954268565631,0.035899085371312624,0.07179817074262525,1.3102355238947665,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Visibility Weighting [Tera/s],,0.0041437903801186384,0.0050638575518127445,0.03729411342106775,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0041437903801186384,0.0050638575518127445,0.025989797189342967,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0041437903801186384,0.0050638575518127445,0.025989797189342967,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0020718951900593192,0.0025319287759063723,,,0.0020718951900593192,0.0025319287759063723,,,0.0020718951900593192,0.0025319287759063723,0.018647056710533873,0.004748444458441277,0.004748444458441277,0.009496888916882554,0.015994085985043538,
-> Subtract Image Component [Tera/s],,,,0.0004906325136331855,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,0.0002180588949480824,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,0.0002180588949480824,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,,,,,,,,,0.00028661948102392626,4.805386817959439e-05,4.805386817959439e-05,0.003432419155685313,0.44989404357398544,
-> Demix [Tera/s],0.91804925952,,,,,,,,0.91804925952,,,,,,,,0.91804925952,,,,,,,,0.45902462976,,,,0.45902462976,,,,0.45902462976,,,,,,,,
-> FFT [Tera/s],,0.010466826957507957,0.155064103074192,0.09420144261757162,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,0.155064103074192,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,0.155064103074192,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.005287847344207346,0.07833847917344214,,,0.005287847344207346,0.07833847917344214,,,0.0052410419387232225,0.0776450657588625,0.04716937744850901,0.019770734336747406,0.003954146867349481,0.09885367168373703,12.95694845493078,
-> Grid [Tera/s],,13.36580067462845,142.56682726009865,120.29220607165603,18.677393784802003,7.470957513920801,14.643358433238642,,,13.36580067462845,142.56682726009865,35.64406380317016,18.677393784802003,7.470957513920801,14.643358433238642,,,13.36580067462845,142.56682726009865,35.64406380317016,18.677393784802003,7.470957513920801,14.643358433238642,,,4.137736175189061,44.13528695640362,,,4.137736175189061,44.13528695640362,,,9.397731232232776,100.24125057198171,84.57958109009499,13.132405236529674,2.626481047305935,5.25296209461187,64.79180036214306,
-> Gridding Kernel Update [Tera/s],,102.94965704044932,7.5700644567839666,926.5469133669142,31.111182609324114,205.7608391898719,331.76452029926696,,,102.94965704044932,7.5700644567839666,287.1149540815706,31.111182609324114,205.7608391898719,331.76452029926696,,,102.94965704044932,7.5700644567839666,287.1149540815706,31.111182609324114,205.7608391898719,331.76452029926696,,,20.15282546078802,0.4379587948153994,,,20.15282546078802,0.4379587948153994,,,47.72675434047952,3.668323939218992,429.54078906471995,14.662096555598842,17.94507957319774,96.81176328825684,1496.9582022844124,
-> Correct [Tera/s],,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,,0.36783429678851104,0.13239790342976898,2.2070347960125885,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,,0.11270062207639762,0.04056534644544646,,,0.11270062207639762,0.04056534644544646,,,0.2582543785958293,0.09295581855395063,2.3242894073624636,0.5260972405771669,0.5260972405771669,1.0521944811543338,5.029585660586666,2.045028008186914
-> IFFT [Tera/s],,0.05233624804241522,0.1550922798058644,0.4710262323817371,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.05233624804241522,0.1550922798058644,0.20934921867941175,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.05233624804241522,0.1550922798058644,0.20934921867941175,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.02644029882936458,0.07835264061781354,,,0.02644029882936458,0.07835264061781354,,,0.026206267090867347,0.07765916438887902,0.23585640381780612,0.019772888294111043,0.019772888294111043,0.03954577658822209,0.03954577658822209,
-> Identify Component [Tera/s],,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,,,,,,,,,4.666666666666667e-10,5.703703703703703e-11,5.703703703703703e-11,4.074074074074074e-09,5.33997037037037e-07,
-> Average [Tera/s],0.9144701201066668,,,,,,,,0.9144701201066668,,,,,,,,0.9144701201066668,,,,,,,,0.4572350600533334,,,,0.4572350600533334,,,,0.4572350600533334,,,,,,,,
-> Phase Rotation Predict [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Receive [Tera/s],0.91804925952,,,,,,,,0.91804925952,,,,,,,,0.91804925952,,,,,,,,0.45902462976,,,,0.45902462976,,,,0.45902462976,,,,,,,,
-> Solve [Tera/s],,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,1.31072e-07,,,,1.31072e-07,,,,1.31072e-07,,3.779242666666667e-06,,,,,
-> Degridding Kernel Update [Tera/s],,102.94965704044932,7.5700644567839666,926.5469133669142,31.111182609324114,205.7608391898719,331.76452029926696,,,102.94965704044932,7.5700644567839666,287.1149540815706,31.111182609324114,205.7608391898719,331.76452029926696,,,102.94965704044932,7.5700644567839666,287.1149540815706,31.111182609324114,205.7608391898719,331.76452029926696,,,20.15282546078802,0.4379587948153994,,,20.15282546078802,0.4379587948153994,,,47.72675434047952,3.668323939218992,429.54078906471995,14.662096555598842,17.94507957319774,96.81176328825684,1496.9582022844124,
-> Phase Rotation [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
